,county,chlorine
49,"Clay, Illinois",1490.0
50,"Clearfield county, Pennsylvania",1404.7028086218158
51,"Clearfield, Pennsylvania",1309.2511051509414
52,"Clinton county, Pennsylvania",959.0816326530612
53,"Clinton, Illinois",1497.0967741935483
54,"Clinton, Pennsylvania",1271.0360433166315
55,"Coles, Illinois",1758.888888888889
56,"Columbia, Pennsylvania",938.975209692451
57,"Columbia, Wisconsin",77.1788990825688
58,"Cook, Illinois",750.764119601329
59,"Crawford county, Pennsylvania",818.0118694362018
60,"Crawford, Illinois",953.3333333333334
61,"Crawford, Pennsylvania",917.4372176105916
62,"Crawford, Wisconsin",19.41374663072776
63,"Cumberland county, Pennsylvania",822.6689976689977
64,"Cumberland, Illinois",964.1666666666666
65,"Cumberland, Pennsylvania",1568.36428498624
66,"Dane, Wisconsin",0.8782672591763183
67,"Dauphin county, Pennsylvania",1221.875516956162
68,"Dauphin, Pennsylvania",1277.9231097821444
69,"De witt, Illinois",1182.2222222222222
70,"Dekalb, Illinois",998.2666666666667
71,"Dodge, Wisconsin",26.172081218274112
72,"Door, Wisconsin",0.46966731898238745
73,"Douglas, Illinois",1725.3488372093022
74,"Douglas, Wisconsin",612.4720136518771
75,"Du page, Illinois",525.0
76,"Dunn, Wisconsin",24.328808446455504
77,"Dupage, Illinois",738.0829015544041
78,"Dutchess, New York",150.0
79,"Eau claire, Wisconsin",227.88449111470112
80,"Edgar, Illinois",1435.9375
81,"Edwards, Illinois",1398.125
82,"Effingham, Illinois",913.3333333333334
83,"Elk, Pennsylvania",901.3989401968206
84,"Elmore, Idaho",0.0
85,"Erie county, Pennsylvania",1146.7215189873418
86,"Erie, Pennsylvania",990.4428056532942
87,"Fayette, Illinois",1037.5
88,"Fayette, Pennsylvania",6325.41251229416
89,"Florence, Wisconsin",0.0
90,"Fond du lac, Wisconsin",56.81960049937578
91,"Ford, Illinois",818.8571428571429
92,"Forest, Pennsylvania",1254.3667883211679
93,"Forest, Wisconsin",1.6666666666666667
94,"Franklin county, Pennsylvania",1375.0501002004007
95,"Franklin, Pennsylvania",1312.2624994214302
96,"Fulton, Illinois",1232.4285714285713
97,"Fulton, Pennsylvania",867.1548117154812
98,"Gallatin, Illinois",1145.8333333333333
99,"Grant, Wisconsin",33.71003552397868
100,"Green lake, Wisconsin",3.294762484774665
101,"Green, Wisconsin",2.484795829713293
102,"Greene, Illinois",1310.0
103,"Greene, Pennsylvania",1274.6632124352332
104,"Grundy, Illinois",916.4
105,"Hamilton, Illinois",1100.0
106,"Hancock, Illinois",871.3636363636364
107,"Hancock, West Virginia",2475.0
108,"Hanover, Virginia",5000.0
109,"Hardin, Illinois",1445.7894736842106
110,"Hardy, West Virginia",1500.0
111,"Henderson, Illinois",946.2962962962963
112,"Henry, Illinois",1642.8187919463087
113,"Huntingdon, Pennsylvania",5428.477532262556
114,"Indiana, Pennsylvania",6576.55357655846
115,"Iowa, Wisconsin",69.02439024390245
116,"Iron, Wisconsin",1.6216216216216217
117,"Iroquois, Illinois",879.0
118,"Jackson, Illinois",1800.0
119,"Jackson, Wisconsin",2.651997683844818
120,"Jasper, Illinois",1053.3333333333333
121,"Jefferson county, Pennsylvania",641.5114709851551
122,"Jefferson, Illinois",2777.5
123,"Jefferson, Pennsylvania",1365.0146937815916
124,"Jefferson, Wisconsin",5.166323731138546
125,"Jersey, Illinois",1738.4615384615386
126,"Jo daviess, Illinois",741.2962962962963
127,"Johnson, Illinois",1315.0
128,"Juneau, Wisconsin",2.0352472996020468
129,"Juniata, Pennsylvania",1471.0871828852707
130,"Kane, Illinois",843.3571428571429
131,"Kankakee, Illinois",1259.3333333333333
132,"Kendall, Illinois",616.2857142857143
133,"Kenosha, Wisconsin",734.103962111586
134,"Kewaunee, Wisconsin",5.37037037037037
135,"Knox, Illinois",1138.955223880597
136,"La crosse, Wisconsin",0.9062465079897195
137,"La salle, Illinois",1531.25
138,"Lackawanna, Pennsylvania",1110.1122019635343
139,"Lafayette, Wisconsin",2.816804407713499
140,"Lake, Illinois",741.3793103448276
141,"Lancaster county, Pennsylvania",666.8324022346369
142,"Lancaster, Pennsylvania",1014.1167044213641
143,"Langlade, Wisconsin",499.3977812995246
144,"Lasalle, Illinois",1111.060606060606
145,"Lawrence, Illinois",1240.0
146,"Lawrence, Pennsylvania",1608.603007518797
147,"Lebanon county, Pennsylvania",1033.0027051397656
148,"Lebanon, Pennsylvania",1465.4442818314865
149,"Lee, Illinois",883.4254143646409
150,"Lehigh county, Pennsylvania",309.83870967741933
151,"Lehigh, Pennsylvania",997.1787180188809
152,"Lewis, New York",50.0
153,"Lincoln, Wisconsin",0.8458646616541353
154,"Livingston, Illinois",947.0769230769231
155,"Logan, Illinois",698.0
156,"Luzerne county, Pennsylvania",1792.933912645781
157,"Luzerne, Pennsylvania",1376.7466677090256
158,"Lycoming county, Pennsylvania",874.8376027066215
159,"Lycoming, Pennsylvania",915.7298713235294
160,"Macon, Illinois",898.75
161,"Macoupin, Illinois",1393.5185185185185
162,"Madison, Illinois",1420.625
163,"Manitowoc, Wisconsin",2.6326161931351617
164,"Marathon, Wisconsin",3.727663111234243
165,"Marinette, Wisconsin",138.2167976830782
166,"Marion, Illinois",1925.909090909091
167,"Marquette, Wisconsin",12.53393665158371
