Incidence, US by County, All Races, Kidney & Renal Pelvis (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Whitfield, Georgia","15.0","11.9","18.7","81"
"Dawson, Nebraska","15.0","9.3","23.0","22"
"Denver, Colorado","15.0","13.7","16.4","484"
"San Diego, California","15.0","14.4","15.6","2600"
"Belknap, New Hampshire","15.0","11.5","19.3","69"
"Union, New Jersey","15.0","13.6","16.4","467"
"Ada, Idaho","15.0","13.4","16.8","342"
"Fort Bend, Texas","15.0","13.7","16.5","505"
"Bell, Kentucky","15.0","9.8","22.3","27"
"Weber, Utah","15.0","12.8","17.5","164"
"Frederick, Virginia","15.0","11.8","18.8","81"
"Muscogee, Georgia","14.9","12.6","17.5","153"
"Northampton, North Carolina","14.9","8.8","24.0","23"
"Davison, South Dakota","14.9","8.2","24.8","16"
"Franklin, Maine","14.9","9.7","22.1","31"
"Chester, Pennsylvania","14.9","13.5","16.4","460"
"Gwinnett, Georgia","14.9","13.7","16.2","586"
"Ulster, New York","14.9","12.7","17.3","183"
"Barnstable, Massachusetts","14.9","13.0","17.1","280"
"Lee, Mississippi","14.9","11.6","18.8","71"
"Fairfield, Connecticut","14.9","13.9","16.0","842"
"Upson, Georgia","14.9","9.5","22.4","25"
"Titus, Texas","14.9","9.5","22.3","24"
"Allen, Indiana","14.9","13.2","16.7","293"
"Glynn, Georgia","14.9","11.8","18.5","87"
"Giles, Tennessee","14.9","10.1","21.5","32"
"San Benito, California","14.9","10.7","20.1","44"
"Currituck, North Carolina","14.9","9.3","22.8","24"
"Adams, Mississippi","14.8","9.9","21.4","31"
"Gray, Texas","14.8","8.9","23.1","20"
"Austin, Texas","14.8","9.8","21.6","30"
"Comal, Texas","14.8","12.2","17.8","124"
"Franklin, North Carolina","14.8","11.3","19.1","63"
"San Mateo, California","14.8","13.6","16.0","665"
"Burnett, Wisconsin","14.8","8.5","25.1","20"
"Meade, South Dakota","14.8","9.1","22.7","23"
"Dunn, Wisconsin","14.8","10.3","20.6","37"
"Latah, Idaho","14.8","9.7","21.7","28"
"Greene, Georgia","14.8","9.2","23.5","24"
"Cowlitz, Washington","14.8","11.9","18.3","96"
"Gratiot, Michigan","14.8","10.4","20.6","37"
"Orange, Florida","14.8","13.8","15.8","928"
"Osage, Oklahoma","14.8","10.7","20.0","46"
"Hampshire, Massachusetts","14.8","12.4","17.5","145"
"Riverside, California","14.7","14.1","15.4","1845"
"Jackson, North Carolina","14.7","10.3","20.6","38"
"Sandoval, New Mexico","14.7","12.2","17.7","127"
"Cherokee, North Carolina","14.7","9.9","21.5","37"
"Clarke, Mississippi","14.7","8.4","24.5","17"
"Story, Iowa","14.7","11.2","19.0","62"
"Grant, New Mexico","14.7","9.2","22.3","28"
"Rockingham, Virginia","14.6","11.4","18.4","76"
"Schuyler, New York","14.6","8.6","23.8","19"
"Humboldt, California","14.6","12.0","17.6","119"
"Middlesex, Massachusetts","14.6","13.8","15.4","1332"
"Contra Costa, California","14.6","13.7","15.6","955"
"Wayne, Pennsylvania","14.6","10.8","19.5","57"
"Isle of Wight, Virginia","14.6","10.2","20.6","37"
"Iredell, North Carolina","14.6","12.3","17.3","150"
"Somerset, New Jersey","14.6","12.9","16.4","289"
"Kalamazoo, Michigan","14.6","12.6","16.8","200"
"Iron, Michigan","14.6","8.5","26.0","18"
"Bannock, Idaho","14.6","11.1","18.8","62"
"Columbia, Pennsylvania","14.6","11.2","18.9","64"
"Jones, Texas","14.6","8.6","23.5","18"
"Pinellas, Florida","14.6","13.7","15.6","1068"
"Curry, Oregon","14.6","9.0","23.1","30"
"Columbia, Georgia","14.6","11.9","17.6","110"
"Pontotoc, Mississippi","14.6","9.3","21.8","25"
"Westmoreland, Virginia","14.6","8.6","23.8","21"
"Lumpkin, Georgia","14.6","9.6","21.6","28"
"Washington, Oregon","14.5","13.2","16.0","437"
"LaGrange, Indiana","14.5","9.4","21.2","27"
"Palo Pinto, Texas","14.5","9.4","21.6","27"
"Island, Washington","14.5","11.4","18.1","90"
"Washoe, Nevada","14.5","13.0","16.1","373"
"Seminole, Florida","14.5","13.0","16.1","382"
"Hancock, Maine","14.5","11.0","19.1","63"
"Rockbridge, Virginia","14.5","9.2","22.4","25"
"Washington, Vermont","14.5","10.9","19.1","57"
"Pike, Missouri","14.5","8.1","24.0","16"
"Mercer, Illinois","14.5","8.2","24.4","17"
"Bulloch, Georgia","14.5","10.7","19.2","50"
"Suffolk, Massachusetts","14.4","13.2","15.8","532"
"Suwannee, Florida","14.4","10.2","19.8","44"
"Montcalm, Michigan","14.4","10.8","18.8","58"
"White, Georgia","14.4","9.6","21.1","31"
"Anderson, Texas","14.4","10.6","19.2","48"
"Miller, Missouri","14.4","9.0","22.0","24"
"Bonner, Idaho","14.4","10.5","19.6","51"
"Durham, North Carolina","14.4","12.5","16.6","218"
"Okanogan, Washington","14.4","10.3","19.8","45"
"Cochise, Arizona","14.4","11.9","17.4","124"
"Talbot, Maryland","14.4","10.6","19.5","51"
"Branch, Michigan","14.3","10.3","19.6","42"
"Kings, New York","14.3","13.7","15.0","1955"
"Forsyth, North Carolina","14.3","12.8","16.1","309"
"Honolulu, Hawaii","14.3","13.3","15.3","827"
"Ashe, North Carolina","14.3","9.3","21.5","30"
"St. Clair, Michigan","14.3","12.1","16.9","152"
"Clark, Nevada","14.3","13.6","15.0","1656"
"Ottawa, Michigan","14.3","12.4","16.5","205"
"Caroline, Maryland","14.3","9.4","21.0","28"
"Manistee, Michigan","14.3","9.2","21.7","29"
"Harris, Georgia","14.3","9.6","20.6","33"
"Uintah, Utah","14.3","8.8","21.9","21"
"Anson, North Carolina","14.3","8.9","22.0","23"
"Morton, North Dakota","14.2","9.1","21.1","26"
"El Dorado, California","14.2","12.1","16.6","184"
"Newport News, Virginia","14.2","11.9","16.9","134"
"Belmont, Ohio","14.2","10.9","18.2","70"
"Mason, Michigan","14.2","9.3","21.0","30"
"Montgomery, Virginia","14.2","10.8","18.4","59"
"Wake, North Carolina","14.2","13.1","15.3","695"
"Piatt, Illinois","14.2","8.0","23.7","16"
"Arapahoe, Colorado","14.1","12.8","15.5","453"
"Tillamook, Oregon","14.1","9.0","21.5","30"
"Cass, Michigan","14.1","10.4","18.8","53"
"Dare, North Carolina","14.1","9.7","19.9","38"
"Lee, Texas","14.1","7.8","23.7","16"
"Citrus, Florida","14.1","11.8","16.7","204"
"Indian River, Florida","14.1","11.9","16.7","189"
"Henry, Ohio","14.1","8.9","21.3","25"
"Salem, Virginia","14.1","8.5","22.1","21"
"Calhoun, Michigan","14.1","11.6","17.0","117"
"Blount, Alabama","14.1","10.5","18.6","54"
"Churchill, Nevada","14.1","8.6","21.9","22"
"Ventura, California","14.1","13.1","15.3","678"
"Benton, Missouri","14.1","7.8","23.9","20"
"Lawrence, Alabama","14.1","9.5","20.2","32"
"Orleans, Vermont","14.1","8.8","21.5","26"
"Shasta, California","14.1","12.0","16.5","179"
"Los Angeles, California","14.0","13.7","14.3","7371"
"Washtenaw, Michigan","14.0","12.3","15.9","252"
"Waushara, Wisconsin","14.0","8.9","21.3","27"
"Franklin, Georgia","14.0","8.9","21.4","24"
"Twin Falls, Idaho","14.0","10.8","18.0","64"
"Salt Lake, Utah","14.0","12.9","15.1","688"
"King, Washington","14.0","13.3","14.7","1567"
"Multnomah, Oregon","14.0","12.8","15.2","580"
"Middlesex, Connecticut","14.0","11.8","16.5","157"
"Walla Walla, Washington","14.0","10.4","18.6","53"
"Berrien, Georgia","13.9","8.0","22.7","17"
"Richland, Wisconsin","13.9","7.7","23.3","18"
"Powhatan, Virginia","13.9","8.9","20.9","27"
"Blaine, Idaho","13.9","8.1","22.5","19"
"Dodge, Georgia","13.9","8.1","22.4","18"
"Cullman, Alabama","13.9","10.8","17.7","73"
"Barron, Wisconsin","13.9","9.9","19.0","46"
"McMinn, Tennessee","13.9","10.3","18.6","52"
"Marshall, Indiana","13.9","9.7","19.2","39"
"Calhoun, Alabama","13.9","11.1","17.1","95"
"Malheur, Oregon","13.9","9.0","20.6","26"
"Trumbull, Ohio","13.9","11.9","16.2","196"
"Sonoma, California","13.9","12.6","15.3","455"
"Broomfield, Colorado","13.9","10.1","18.7","46"
"Tolland, Connecticut","13.9","11.5","16.8","120"
"St. Johns, Florida","13.8","11.9","15.9","211"
"Clearfield, Pennsylvania","13.8","10.8","17.3","79"
"Dawson, Georgia","13.8","8.2","21.9","21"
"Lane, Oregon","13.8","12.2","15.5","317"
"Lee, Alabama","13.8","11.2","16.8","102"
"Hillsborough, New Hampshire","13.8","12.3","15.4","340"
"Jefferson, Iowa","13.8","7.2","24.2","17"
"Martin, Florida","13.8","11.6","16.3","189"
"Ashtabula, Ohio","13.8","11.0","17.1","91"
"Hunterdon, New Jersey","13.8","11.3","16.8","117"
"Davis, Utah","13.8","11.9","15.9","197"
"Benton, Oregon","13.8","10.5","17.8","65"
"Fairbanks North Star, Alaska","13.8","10.2","18.2","59"
"Saline, Missouri","13.7","8.2","21.8","20"
"Utah, Utah","13.7","12.1","15.6","256"
"Carson City, Nevada","13.7","10.1","18.4","51"
"Douglas, Nevada","13.7","10.3","18.2","62"
"Carroll, New Hampshire","13.7","9.8","18.9","52"
"Curry, New Mexico","13.7","9.4","19.4","33"
"Windsor, Vermont","13.7","10.0","18.4","53"
"Cumberland, Maine","13.7","12.1","15.6","265"
"Anne Arundel, Maryland","13.7","12.4","15.0","439"
"Dent, Missouri","13.7","7.6","23.3","16"
"Jefferson, Colorado","13.7","12.5","15.1","474"
"Wayne, Kentucky","13.7","8.0","22.1","19"
"Wasatch, Utah","13.7","8.1","21.8","19"
"Larimer, Colorado","13.6","11.9","15.5","245"
"Emanuel, Georgia","13.6","7.8","22.1","17"
"Yakima, Washington","13.6","11.6","15.8","172"
"Monroe, Georgia","13.6","8.8","20.4","27"
"Roane, Tennessee","13.6","10.2","18.0","58"
"Tioga, New York","13.6","9.9","18.4","47"
"Orange, Vermont","13.6","9.0","20.2","29"
"Jefferson, Idaho","13.6","7.8","21.9","17"
"Danville, Virginia","13.6","9.3","19.2","37"
"Cherokee, Alabama","13.6","8.7","20.7","25"
"Fayette, Georgia","13.6","11.0","16.8","100"
"El Paso, Colorado","13.6","12.4","15.0","455"
"Bernalillo, New Mexico","13.6","12.4","14.9","526"
"Le Flore, Oklahoma","13.6","9.7","18.6","43"
"Cache, Utah","13.5","10.2","17.4","58"
"Ingham, Michigan","13.5","11.6","15.6","193"
"Bedford, Virginia","13.5","10.3","17.5","69"
"Box Elder, Utah","13.5","9.3","18.9","34"
"Queens, New York","13.5","12.8","14.1","1793"
"Wayne, Ohio","13.5","10.8","16.8","88"
"Pennington, South Dakota","13.4","10.7","16.7","90"
"Fluvanna, Virginia","13.4","8.6","20.2","25"
"Chittenden, Vermont","13.4","11.0","16.1","120"
"Orange, California","13.4","12.8","13.9","2329"
"Butte, California","13.4","11.4","15.6","183"
"Essex, New Jersey","13.4","12.3","14.5","575"
"Cortland, New York","13.4","9.4","18.7","38"
"Taney, Missouri","13.3","9.6","17.9","49"
"Grand Traverse, Michigan","13.3","10.4","16.7","81"
"Roanoke, Virginia","13.3","10.6","16.5","89"
"Guernsey, Ohio","13.3","9.3","18.7","37"
"Brown, South Dakota","13.3","8.8","19.4","31"
"Santa Clara, California","13.3","12.6","14.0","1343"
"Van Wert, Ohio","13.3","8.7","19.9","26"
"Franklin, Washington","13.2","9.7","17.6","49"
"Hampton, South Carolina","13.2","7.6","21.7","17"
"Essex, New York","13.2","9.2","18.6","40"
"Clinton, Michigan","13.2","9.9","17.2","57"
"Ohio, West Virginia","13.2","9.3","18.5","40"
"DeKalb, Alabama","13.2","9.8","17.4","54"
"Nacogdoches, Texas","13.2","9.6","17.9","45"
"Miami-Dade, Florida","13.2","12.6","13.8","2106"
"Jefferson, Washington","13.2","8.9","19.5","41"
"Mesa, Colorado","13.2","10.8","15.9","121"
"San Luis Obispo, California","13.2","11.5","15.1","238"
"Green Lake, Wisconsin","13.1","7.6","21.7","18"
"Grafton, New Hampshire","13.1","10.3","16.6","82"
"Unicoi, Tennessee","13.1","7.7","21.6","19"
"Piscataquis, Maine","13.1","8.2","21.3","22"
"Franklin, Indiana","13.1","7.9","20.9","20"
"Missoula, Montana","13.1","10.4","16.3","86"
"Delta, Colorado","13.1","8.2","20.0","28"
"Portage, Wisconsin","13.1","9.7","17.3","54"
"Payne, Oklahoma","13.0","9.5","17.4","48"
"Aiken, South Carolina","13.0","10.9","15.6","138"
"Leon, Florida","13.0","11.1","15.1","184"
"Steuben, Indiana","13.0","8.6","18.9","30"
"Catoosa, Georgia","13.0","9.7","17.2","53"
"Warren, Virginia","13.0","8.5","19.1","28"
"Charlevoix, Michigan","13.0","7.8","20.6","23"
"Knox, Ohio","13.0","9.4","17.6","47"
"Kent, Maryland","12.9","7.8","21.0","21"
"Stephens, Georgia","12.9","7.8","20.1","22"
"Franklin, Virginia","12.9","9.6","17.1","55"
"Rowan, Kentucky","12.9","7.3","21.3","16"
"Leelanau, Michigan","12.9","7.6","21.0","23"
"Rutland, Vermont","12.9","9.6","17.2","55"
"Alameda, California","12.8","12.0","13.6","1123"

"undefined"
