county,binge_alcohol
"New London, Connecticut",18.685714285714283
"Tolland, Connecticut",19.62857142857143
"Windham, Connecticut",18.15714285714286
"Kent, Delaware",16.771428571428572
"New Castle, Delaware",20.314285714285713
"Sussex, Delaware",19.61428571428571
"Alachua, Florida",17.157142857142855
"Baker, Florida",14.657142857142857
"Bay, Florida",18.800000000000004
"Bradford, Florida",14.6
"Brevard, Florida",20.428571428571427
"Broward, Florida",16.4
"Calhoun, Florida",14.585714285714285
"Charlotte, Florida",20.12857142857143
"Citrus, Florida",18.87142857142857
"Clay, Florida",17.157142857142855
"Collier, Florida",18.442857142857143
"Columbia, Florida",14.942857142857141
"DeSoto, Florida",15.328571428571427
"Dixie, Florida",15.085714285714285
"Duval, Florida",16.642857142857142
"Escambia, Florida",16.45714285714286
"Flagler, Florida",19.385714285714283
"Franklin, Florida",22.728571428571428
"Gadsden, Florida",14.028571428571428
"Gilchrist, Florida",14.0
"Glades, Florida",14.242857142857144
"Gulf, Florida",17.514285714285712
"Hamilton, Florida",13.9
"Hardee, Florida",12.3
"Hendry, Florida",15.185714285714285
"Hernando, Florida",19.1
"Highlands, Florida",15.600000000000003
"Hillsborough, Florida",18.214285714285715
"Holmes, Florida",14.471428571428572
"Indian River, Florida",19.300000000000004
"Jackson, Florida",13.614285714285714
"Jefferson, Florida",15.042857142857143
"Lafayette, Florida",12.700000000000001
"Lake, Florida",16.657142857142855
"Lee, Florida",18.785714285714285
"Leon, Florida",17.657142857142862
"Levy, Florida",14.599999999999998
"Liberty, Florida",12.27142857142857
"Madison, Florida",12.842857142857143
"Manatee, Florida",19.099999999999998
"Marion, Florida",16.728571428571428
"Martin, Florida",19.5
"Miami-Dade, Florida",15.542857142857144
"Monroe, Florida",24.985714285714288
"Nassau, Florida",16.442857142857143
"Okaloosa, Florida",18.285714285714285
"Okeechobee, Florida",16.042857142857144
"Orange, Florida",17.142857142857142
"Osceola, Florida",15.285714285714286
"Palm Beach, Florida",17.071428571428566
"Pasco, Florida",19.5
"Pinellas, Florida",20.88571428571429
"Polk, Florida",16.27142857142857
"Putnam, Florida",15.685714285714283
"Santa Rosa, Florida",16.857142857142858
"Sarasota, Florida",20.557142857142857
"Seminole, Florida",18.7
"St. Johns, Florida",21.057142857142857
"St. Lucie, Florida",17.499999999999996
"Sumter, Florida",17.457142857142856
"Suwannee, Florida",12.999999999999998
"Taylor, Florida",14.385714285714286
"Union, Florida",14.114285714285714
"Volusia, Florida",19.042857142857144
"Wakulla, Florida",18.02857142857143
"Walton, Florida",17.957142857142856
"Washington, Florida",12.77142857142857
"Appling, Georgia",11.814285714285715
"Atkinson, Georgia",12.285714285714286
"Bacon, Georgia",11.142857142857142
"Baker, Georgia",13.828571428571427
"Baldwin, Georgia",14.471428571428573
"Banks, Georgia",10.6
"Barrow, Georgia",14.685714285714287
"Bartow, Georgia",13.857142857142858
"Ben Hill, Georgia",12.342857142857143
"Berrien, Georgia",15.171428571428573
"Bibb, Georgia",14.042857142857143
"Bleckley, Georgia",11.9
"Brantley, Georgia",12.285714285714286
"Brooks, Georgia",12.685714285714283
"Bryan, Georgia",17.514285714285716
"Bulloch, Georgia",14.5
"Burke, Georgia",11.971428571428572
"Butts, Georgia",12.085714285714285
"Calhoun, Georgia",10.828571428571427
"Camden, Georgia",15.057142857142859
"Candler, Georgia",15.242857142857144
"Carroll, Georgia",13.471428571428572
"Catoosa, Georgia",14.599999999999998
"Charlton, Georgia",13.4
"Chatham, Georgia",18.057142857142857
"Chattahoochee, Georgia",13.87142857142857
"Chattooga, Georgia",12.214285714285714
"Cherokee, Georgia",15.37142857142857
"Clarke, Georgia",16.5
"Clay, Georgia",11.342857142857142
"Clayton, Georgia",11.957142857142857
"Clinch, Georgia",12.757142857142856
"Cobb, Georgia",15.857142857142858
"Coffee, Georgia",12.057142857142855
"Colquitt, Georgia",12.5
"Columbia, Georgia",16.357142857142854
"Cook, Georgia",12.242857142857144
"Coweta, Georgia",14.200000000000001
"Crawford, Georgia",14.028571428571428
"Crisp, Georgia",13.842857142857143
"Dade, Georgia",14.042857142857144
"Dawson, Georgia",14.114285714285716
"Decatur, Georgia",13.0
"DeKalb, Georgia",16.071428571428573
"Dodge, Georgia",10.62857142857143
"Dooly, Georgia",12.071428571428571
"Dougherty, Georgia",13.942857142857141
"Douglas, Georgia",13.4
"Early, Georgia",12.8
"Echols, Georgia",12.428571428571429
"Effingham, Georgia",15.200000000000001
"Elbert, Georgia",12.757142857142856
"Emanuel, Georgia",13.200000000000001
"Evans, Georgia",14.457142857142857
"Fannin, Georgia",10.928571428571429
"Fayette, Georgia",14.914285714285713
"Floyd, Georgia",13.228571428571428
"Forsyth, Georgia",16.385714285714283
"Franklin, Georgia",12.157142857142857
"Fulton, Georgia",17.499999999999996
"Gilmer, Georgia",13.471428571428573
"Glascock, Georgia",11.157142857142858
"Glynn, Georgia",17.842857142857145
"Gordon, Georgia",12.842857142857143
"Grady, Georgia",12.485714285714286
"Greene, Georgia",14.342857142857143
"Gwinnett, Georgia",14.185714285714285
"Habersham, Georgia",11.8
"Hall, Georgia",13.457142857142857
"Hancock, Georgia",11.62857142857143
"Haralson, Georgia",12.428571428571429
"Harris, Georgia",14.285714285714286
"Hart, Georgia",11.442857142857145
"Heard, Georgia",12.085714285714287
"Henry, Georgia",13.6
"Houston, Georgia",15.77142857142857
"Irwin, Georgia",12.55714285714286
"Jackson, Georgia",12.985714285714286
"Jasper, Georgia",13.514285714285714
"Jeff Davis, Georgia",10.514285714285714
"Jefferson, Georgia",12.014285714285714
"Jenkins, Georgia",11.714285714285717
"Johnson, Georgia",12.071428571428573
"Jones, Georgia",12.957142857142857
"Lamar, Georgia",12.12857142857143
"Lanier, Georgia",14.428571428571429
"Laurens, Georgia",13.114285714285714
"Lee, Georgia",14.942857142857141
"Liberty, Georgia",14.928571428571429
"Lincoln, Georgia",12.0
"Long, Georgia",12.87142857142857
"Lowndes, Georgia",14.9
"Lumpkin, Georgia",14.528571428571428
"Macon, Georgia",13.62857142857143
"Madison, Georgia",12.285714285714286
"Marion, Georgia",13.5
"McDuffie, Georgia",12.914285714285715
"McIntosh, Georgia",16.242857142857144
"Meriwether, Georgia",13.585714285714287
"Miller, Georgia",14.9
"Mitchell, Georgia",12.557142857142855
"Monroe, Georgia",13.8
"Montgomery, Georgia",11.714285714285714
"Morgan, Georgia",15.357142857142856
"Murray, Georgia",12.057142857142859
"Muscogee, Georgia",15.957142857142856
"Newton, Georgia",13.87142857142857
"Oconee, Georgia",14.514285714285716
"Oglethorpe, Georgia",12.428571428571429
"Paulding, Georgia",14.628571428571428
"Peach, Georgia",13.414285714285713
"Pickens, Georgia",15.685714285714285
"Pierce, Georgia",12.614285714285714
"Pike, Georgia",12.957142857142856
"Polk, Georgia",11.685714285714285
"Pulaski, Georgia",15.1
"Putnam, Georgia",13.8
"Quitman, Georgia",11.557142857142855
"Rabun, Georgia",14.1
"Randolph, Georgia",11.442857142857141
"Richmond, Georgia",15.128571428571425
"Rockdale, Georgia",13.942857142857145
"Schley, Georgia",14.971428571428572
"Screven, Georgia",14.271428571428572
"Seminole, Georgia",15.542857142857144
"Spalding, Georgia",13.471428571428573
"Stephens, Georgia",11.442857142857141
"Stewart, Georgia",12.257142857142856
"Sumter, Georgia",12.942857142857141
"Talbot, Georgia",12.442857142857141
"Taliaferro, Georgia",10.028571428571428
"Tattnall, Georgia",12.842857142857143
"Taylor, Georgia",11.514285714285714
"Telfair, Georgia",13.400000000000002
"Terrell, Georgia",12.1
"Thomas, Georgia",13.985714285714286
"Tift, Georgia",12.200000000000001
"Toombs, Georgia",12.014285714285716
"Towns, Georgia",12.385714285714284
"Treutlen, Georgia",11.942857142857145
"Troup, Georgia",14.614285714285716
"Turner, Georgia",11.357142857142858
"Twiggs, Georgia",11.314285714285715
"Union, Georgia",11.471428571428572
"Upson, Georgia",11.971428571428572
"Walker, Georgia",12.185714285714285
"Walton, Georgia",13.37142857142857
"Ware, Georgia",12.871428571428572
"Warren, Georgia",10.342857142857143
"Washington, Georgia",12.8
"Wayne, Georgia",12.542857142857143
"Webster, Georgia",11.399999999999997
"Wheeler, Georgia",11.342857142857143
"White, Georgia",14.528571428571428
"Whitfield, Georgia",13.242857142857146
"Wilcox, Georgia",10.285714285714286
"Wilkes, Georgia",13.571428571428571
"Wilkinson, Georgia",11.542857142857143
"Worth, Georgia",12.799999999999999
"Hawaii, Hawaii",20.957142857142856
"Honolulu, Hawaii",20.02857142857143
"Kalawao County, Maui, Hawaii",22.514285714285712
"Kauai, Hawaii",20.071428571428573
"Ada, Idaho",17.228571428571424
"Adams, Idaho",21.528571428571432
"Bannock, Idaho",14.142857142857142
"Bear Lake, Idaho",7.857142857142856
"Benewah, Idaho",22.585714285714282
"Bingham, Idaho",11.299999999999999
"Blaine, Idaho",22.7
"Boise, Idaho",19.057142857142853
"Bonner, Idaho",21.642857142857142
"Bonneville, Idaho",11.12857142857143
"Boundary, Idaho",19.057142857142857
"Butte, Idaho",13.12857142857143
"Camas, Idaho",18.271428571428572
"Canyon, Idaho",15.57142857142857
"Caribou, Idaho",10.071428571428571
"Cassia, Idaho",12.099999999999998
"Clark, Idaho",16.02857142857143
"Clearwater, Idaho",22.32857142857143
"Custer, Idaho",17.442857142857143
"Elmore, Idaho",19.642857142857142
"Franklin, Idaho",7.885714285714285
"Fremont, Idaho",9.528571428571428
"Gem, Idaho",16.585714285714285
"Gooding, Idaho",17.857142857142858
"Idaho, Idaho",21.642857142857142
"Jefferson, Idaho",8.985714285714286
"Jerome, Idaho",18.54285714285714
"Kootenai, Idaho",17.72857142857143
"Latah, Idaho",21.342857142857145
"Lemhi, Idaho",18.857142857142858
"Lewis, Idaho",20.057142857142857
"Lincoln, Idaho",16.97142857142857
"Madison, Idaho",5.6000000000000005
"Minidoka, Idaho",14.328571428571431
"Nez Perce, Idaho",22.157142857142855
"Oneida, Idaho",10.057142857142859
"Owyhee, Idaho",20.400000000000002
"Payette, Idaho",17.45714285714286
"Power, Idaho",14.3
"Shoshone, Idaho",26.17142857142857
"Teton, Idaho",14.828571428571427
"Twin Falls, Idaho",17.457142857142856
"Valley, Idaho",21.814285714285717
"Washington, Idaho",19.814285714285713
"Adams, Illinois",21.914285714285718
"Alexander, Illinois",16.428571428571427
"Bond, Illinois",19.24285714285714
"Boone, Illinois",21.1
"Brown, Illinois",21.928571428571427
"Bureau, Illinois",21.842857142857145
"Calhoun, Illinois",31.385714285714283
"Carroll, Illinois",22.928571428571434
"Cass, Illinois",20.542857142857144
"Champaign, Illinois",19.285714285714285
"Christian, Illinois",20.95714285714286
"Clark, Illinois",16.242857142857144
"Clay, Illinois",17.77142857142857
"Clinton, Illinois",29.599999999999998
"Coles, Illinois",19.757142857142856
"Cook, Illinois",21.885714285714283
"Crawford, Illinois",17.014285714285712
"Cumberland, Illinois",17.814285714285717
"De Witt, Illinois",19.557142857142857
"DeKalb, Illinois",21.02857142857143
"Douglas, Illinois",19.228571428571428
"DuPage, Illinois",22.585714285714285
"Edgar, Illinois",18.2
"Edwards, Illinois",15.299999999999999
"Effingham, Illinois",21.75714285714286
"Fayette, Illinois",16.6
"Ford, Illinois",19.74285714285714
"Franklin, Illinois",17.671428571428574
"Fulton, Illinois",20.3
"Gallatin, Illinois",20.371428571428574
"Greene, Illinois",21.400000000000002
"Grundy, Illinois",22.757142857142856
"Hamilton, Illinois",16.157142857142855
"Hancock, Illinois",22.485714285714284
"Hardin, Illinois",18.014285714285716
"Henderson, Illinois",22.685714285714283
"Henry, Illinois",20.61428571428571
"Iroquois, Illinois",19.11428571428571
"Jackson, Illinois",18.599999999999998
"Jasper, Illinois",21.4
"Jefferson, Illinois",15.814285714285715
"Jersey, Illinois",24.599999999999998
"Jo Daviess, Illinois",29.12857142857143
"Johnson, Illinois",15.77142857142857
"Kane, Illinois",20.985714285714284
"Kankakee, Illinois",20.54285714285714
"Kendall, Illinois",20.571428571428573
"Knox, Illinois",20.871428571428574
"Lake, Illinois",20.37142857142857
"LaSalle, Illinois",24.985714285714288
"Lawrence, Illinois",15.12857142857143
"Lee, Illinois",23.728571428571428
"Livingston, Illinois",21.142857142857142
"Logan, Illinois",19.571428571428573
"Macon, Illinois",19.485714285714288
"Macoupin, Illinois",22.157142857142855
"Madison, Illinois",21.814285714285713
"Marion, Illinois",17.5
"Marshall, Illinois",23.357142857142854
"Mason, Illinois",20.999999999999996
"Massac, Illinois",15.742857142857144
"McDonough, Illinois",18.87142857142857
"McHenry, Illinois",22.685714285714287
"McLean, Illinois",19.385714285714283
"Menard, Illinois",20.071428571428573
"Mercer, Illinois",21.45714285714286
"Monroe, Illinois",23.45714285714286
"Montgomery, Illinois",19.114285714285717
"Morgan, Illinois",20.485714285714288
"Moultrie, Illinois",17.357142857142858
"Ogle, Illinois",21.728571428571428
