,county,nitrite
431,"Clay, Texas",2.0833333333333335
432,"Clay, West Virginia",0.0
433,"Clayton, Iowa",4.444444444444445
434,"Clearfield county, Pennsylvania",0.0
435,"Clearfield, Pennsylvania",1.3900709219858156
436,"Clearwater, Idaho",0.0
437,"Clearwater, Minnesota",0.0
438,"Cleburne, Alabama",0.0
439,"Clermont, Ohio",0.0
440,"Cleveland, Arkansas",0.0
441,"Cleveland, North Carolina",462.5
442,"Cleveland, Oklahoma",15.347222222222221
443,"Clinton, Illinois",1.13109243697479
444,"Clinton, Indiana",0.0
445,"Clinton, Iowa",0.0
446,"Clinton, Kentucky",0.0
447,"Clinton, Michigan",1.1111111111111112
448,"Clinton, Missouri",212.0
449,"Clinton, New York",2.112676056338028
450,"Clinton, Ohio",0.0
451,"Clinton, Pennsylvania",1.8012422360248448
452,"Cochise, Arizona",3.4530660377358493
453,"Cochran, Texas",0.0
454,"Cocke, Tennessee",0.0
455,"Coconino, Arizona",4.67741935483871
456,"Codington, South Dakota",0.0
457,"Coffee, Alabama",1.8309859154929577
458,"Coffee, Tennessee",0.0
459,"Coke, Texas",0.0
460,"Colbert, Alabama",6.785714285714286
461,"Cole, Missouri",85.2247191011236
462,"Coles, Illinois",59.0625
463,"Colfax, New Mexico",0.0
464,"Colleton, South Carolina",0.0
465,"Collier, Florida",3.860372340425532
466,"Collin, Texas",0.0
467,"Collingsworth, Texas",0.0
468,"Colorado, Texas",0.0
469,"Columbia county, Pennsylvania",0.0
470,"Columbia, Arkansas",83.33333333333333
471,"Columbia, Florida",7.8693957115009745
472,"Columbia, New York",42.10526315789474
473,"Columbia, Oregon",6.056338028169014
474,"Columbia, Pennsylvania",24.494556765163296
475,"Columbia, Washington",0.3333333333333333
476,"Columbia, Wisconsin",0.0
477,"Columbiana, Ohio",1.161904761904762
478,"Columbus county, North Carolina",0.0
479,"Columbus, North Carolina",6.313692946058091
480,"Colusa, California",0.0024193548387096775
481,"Comal, Texas",0.0
482,"Comanche, Oklahoma",0.0
483,"Comanche, Texas",5.0
484,"Concho, Texas",0.0
485,"Conecuh, Alabama",0.0
