,county,uranium_combined
296,"Columbia county, Pennsylvania",0.0
297,"Columbia, Florida",0.24287
298,"Columbia, New York",0.0
299,"Columbia, Oregon",0.08823529411764706
300,"Columbia, Pennsylvania",0.13816363636363638
301,"Columbia, Wisconsin",0.445375
302,"Columbus, North Carolina",0.0
303,"Colusa, California",1.6750344736842104
304,"Comal, Texas",0.0
305,"Comanche, Oklahoma",1.6144736842105265
306,"Comanche, Texas",13.2
307,"Concho, Texas",0.0
308,"Concordia, Louisiana",0.19866666666666666
309,"Contra costa, California",2.0866138255033553
310,"Converse, Wyoming",12.142284666666665
311,"Cook, Illinois",0.6340719032258063
312,"Cooper, Missouri",0.0
313,"Coos, New Hampshire",1.1060909090909095
314,"Coos, Oregon",0.0
315,"Corson, South Dakota",0.0
316,"Cortland, New York",0.5352122500000001
317,"Cotton, Oklahoma",0.5135135135135135
318,"Craig, Oklahoma",0.0
319,"Craven, North Carolina",0.16108108108108107
320,"Crawford county, Pennsylvania",0.0
321,"Crawford, Illinois",2.98
322,"Crawford, Missouri",0.0
323,"Crawford, Pennsylvania",0.0
324,"Crawford, Wisconsin",0.04666666666666667
325,"Creek, Oklahoma",1.7309523809523815
326,"Crook, Oregon",0.7630785714285715
327,"Crook, Wyoming",5.1038461538461535
328,"Culpeper, Virginia",0.3947049180327869
329,"Cumberland county, Pennsylvania",0.0
330,"Cumberland, New Jersey",3.600456905207226
331,"Cumberland, North Carolina",0.3356853896103898
332,"Cumberland, Pennsylvania",0.0
333,"Cumberland, Virginia",0.43
334,"Cuming, Nebraska",52.6240909090909
335,"Currituck, North Carolina",0.0
336,"Curry, New Mexico",8.379928358208957
337,"Curry, Oregon",0.0
338,"Custer, Montana",3.0
339,"Custer, Nebraska",7.913555555555555
340,"Custer, Oklahoma",2.0400000000000005
341,"Custer, South Dakota",5.6375
342,"Dade, Florida",0.8904146875
343,"Dakota, Minnesota",0.2177692307692308
344,"Dakota, Nebraska",0.745
345,"Dallas, Missouri",0.0
346,"Dane, Wisconsin",1.1946324794871792
347,"Daniels, Montana",1.0
348,"Dare, North Carolina",0.49666666666666665
