,county,combinded_radium
425,"Daniels, Montana",1.4
426,"Dare, North Carolina",0.0
427,"Darlington, South Carolina",2.7833333333333337
428,"Davidson, North Carolina",0.3333333333333333
429,"Davie, North Carolina",0.0
430,"Daviess, Kentucky",0.49000000000000005
431,"Daviess, Missouri",0.0
432,"Davis, Iowa",0.0
433,"Davis, Utah",0.7600909090909094
434,"Dawes, Nebraska",0.44000000000000006
435,"Dawson, Montana",0.0
436,"Dawson, Nebraska",0.5461538461538461
437,"Dawson, Texas",0.27599999999999997
438,"De baca, New Mexico",2.9575
439,"De kalb, Missouri",0.1625
440,"De witt, Illinois",1.6552941176470588
441,"Deaf smith, Texas",0.0
442,"Decatur, Iowa",0.0
443,"Decatur, Kansas",0.4
444,"Deer lodge, Montana",0.6
445,"Defiance, Ohio",1.0
446,"Dekalb, Illinois",3.8885327510917063
447,"Dekalb, Missouri",0.1
448,"Del norte county, California",0.656
449,"Delaware, Indiana",0.7
450,"Delaware, Iowa",1.7604545454545457
451,"Delaware, New York",0.7867885897435899
452,"Delaware, Oklahoma",2.030897727272728
453,"Delta, Texas",2.4
454,"Dent, Missouri",0.2
455,"Denton, Texas",1.3625
456,"Des moines, Iowa",1.3883333333333334
457,"Deschutes, Oregon",0.2526984126984127
458,"Deuel, Nebraska",1.0750000000000002
459,"Dewey, Oklahoma",0.2942
460,"Dewey, South Dakota",0.0
461,"Dewitt, Texas",4.031875
462,"Dickens, Texas",1.5
463,"Dickey, North Dakota",0.7696
464,"Dickinson, Iowa",0.25
465,"Dickinson, Kansas",0.34705882352941175
466,"Dillingham, Alaska",0.4628571428571429
467,"Dillon, South Carolina",0.41538461538461535
468,"Dimmit, Texas",3.0333333333333337
469,"Dinwiddie, Virginia",0.2
470,"Divide, North Dakota",0.762
471,"Dixon, Nebraska",0.3076923076923077
472,"Doddridge, West Virginia",0.0
473,"Dodge, Nebraska",1.3842105263157896
474,"Dodge, Wisconsin",3.4754482758620697
475,"Dona ana, New Mexico",0.5581272460425533
476,"Doniphan, Kansas",0.7000000000000001
477,"Donley, Texas",1.1199999999999999
478,"Door, Wisconsin",1.7866666666666668
479,"Dorchester, Maryland",0.33333333333333337
480,"Dorchester, South Carolina",0.3583333333333333
481,"Douglas, Illinois",2.3533333333333335
482,"Douglas, Kansas",0.65
483,"Douglas, Missouri",1.1363636363636365
484,"Douglas, Nebraska",0.7904761904761906
485,"Douglas, Nevada",0.18657576190476186
486,"Douglas, Oregon",0.19062500000000002
487,"Douglas, Washington",1.3390000000000002
488,"Douglas, Wisconsin",0.6466666666666666
489,"Du page, Illinois",1.215
490,"Dubuque, Iowa",2.8022680412371126
491,"Duchesne, Utah",2.826
492,"Dunklin, Missouri",0.1857142857142857
493,"Dunn, North Dakota",0.7756666666666666
494,"Dunn, Wisconsin",1.729
495,"Dupage, Illinois",3.030348717948719
496,"Duplin, North Carolina",0.0
497,"Durham, North Carolina",0.6425000000000001
498,"Dutchess, New York",3.101117082533587
499,"Duval, Texas",0.028571428571428574
500,"Eastland, Texas",2.5
501,"Eau claire, Wisconsin",1.4295652173913045
502,"Ector, Texas",0.392
503,"Eddy, New Mexico",0.2484468085106383
504,"Eddy, North Dakota",0.4925
505,"Edgar, Illinois",0.9179999999999999
506,"Edgecombe, North Carolina",0.1
507,"Edgefield, South Carolina",0.6000000000000001
508,"Edmonson, Kentucky",0.0
509,"Edwards, Illinois",0.7779999999999999
510,"Edwards, Kansas",0.5599999999999999
511,"Edwards, Texas",1.06
512,"Effingham, Illinois",0.6239999999999999
513,"El paso, Texas",1.2740740740740737
514,"Elk, Kansas",0.85
515,"Elkhart, Indiana",1.28
516,"Elko, Nevada",0.29829825301204826
517,"Elliott, Kentucky",3.0
518,"Ellis, Kansas",0.5041666666666668
519,"Ellis, Oklahoma",0.3721489361702128
520,"Ellis, Texas",1.0799999999999998
521,"Ellsworth, Kansas",4.554545454545456
522,"Elmore, Alabama",0.4
523,"Elmore, Idaho",1.2242857142857144
524,"Emery, Utah",1.5
525,"Emmet, Iowa",3.3300000000000005
526,"Emmons, North Dakota",4.601666666666667
527,"Erath, Texas",3.7853333333333334
528,"Erie, New York",2.244
529,"Escambia, Alabama",1.6312499999999999
530,"Esmeralda, Nevada",0.20536249999999998
531,"Essex, New Jersey",0.226
532,"Essex, New York",0.35219999999999996
533,"Essex, Vermont",0.6325000000000001
534,"Essex, Virginia",0.43571428571428567
535,"Etowah, Alabama",0.2
536,"Eureka, Nevada",0.056097560975609764
537,"Evangeline parish, Louisiana",0.24
538,"Fairbanks north star, Alaska",0.5575757575757577
539,"Fairfax, Virginia",0.2041111111111111
