,county,endrin
473,"Columbia, Arkansas",0.0
474,"Columbia, Florida",0.0
475,"Columbia, New York",0.0
476,"Columbia, Oregon",0.0
477,"Columbia, Pennsylvania",0.0
478,"Columbia, Washington",0.0
479,"Columbia, Wisconsin",0.0
480,"Columbus county, North Carolina",0.0
481,"Columbus, North Carolina",0.0
482,"Colusa, California",0.0
483,"Comal, Texas",0.0
484,"Comanche, Texas",0.0
485,"Concho, Texas",0.0
486,"Concordia, Louisiana",0.0
487,"Conecuh, Alabama",0.0
488,"Contra costa, California",0.0
489,"Converse, Wyoming",0.0
490,"Conway, Arkansas",0.0
491,"Cook, Illinois",0.0
492,"Cook, Minnesota",0.0
493,"Cooke, Texas",0.0
494,"Cooper, Missouri",0.0
495,"Coos, New Hampshire",0.0
496,"Coos, Oregon",0.0
497,"Coosa, Alabama",0.0
498,"Corson, South Dakota",0.0
499,"Cortland, New York",0.0
500,"Coryell, Texas",0.0
501,"Cottle, Texas",0.0
502,"Cottonwood, Minnesota",0.0
503,"Covington, Alabama",0.0
504,"Covington, Virginia",0.0
505,"Cowley, Kansas",0.0
506,"Cowlitz, Washington",0.0
507,"Craig, Oklahoma",0.0
508,"Craighead, Arkansas",0.0
509,"Crane, Texas",0.0
510,"Craven, North Carolina",0.0
511,"Crawford county, Pennsylvania",0.0
512,"Crawford, Arkansas",0.0
513,"Crawford, Illinois",0.0
514,"Crawford, Indiana",0.0
515,"Crawford, Kansas",0.0
516,"Crawford, Michigan",0.0
517,"Crawford, Missouri",0.0
518,"Crawford, Pennsylvania",0.0
519,"Crawford, Wisconsin",0.0
520,"Creek, Oklahoma",0.0
521,"Crenshaw, Alabama",0.0
522,"Crittenden, Arkansas",0.0
523,"Crittenden, Kentucky",0.0
524,"Crockett, Texas",0.0
525,"Crook, Oregon",0.0
526,"Crook, Wyoming",0.0
527,"Crosby, Texas",0.0
528,"Cross, Arkansas",0.0
529,"Crow wing, Minnesota",0.0
530,"Culberson, Texas",0.0
531,"Cullman, Alabama",0.0
532,"Culpeper, Virginia",0.0
533,"Cumberland county, Pennsylvania",0.0
534,"Cumberland, Illinois",0.0
535,"Cumberland, Kentucky",0.0
536,"Cumberland, Maine",0.0
537,"Cumberland, New Jersey",0.0
538,"Cumberland, North Carolina",0.0
539,"Cumberland, Pennsylvania",0.0
540,"Cumberland, Virginia",0.0
541,"Cuming, Nebraska",0.0
542,"Currituck, North Carolina",0.0
543,"Curry, New Mexico",0.0
544,"Curry, Oregon",0.0
545,"Custer, Idaho",0.0
546,"Custer, Montana",0.0
547,"Custer, Nebraska",0.0
548,"Custer, South Dakota",0.0
549,"Dade, Florida",0.0
550,"Dade, Missouri",0.0
551,"Daggett, Utah",0.0
552,"Dakota, Minnesota",0.0
553,"Dakota, Nebraska",0.0
554,"Dale, Alabama",0.0
555,"Dallam, Texas",0.0
556,"Dallas, Alabama",0.0
557,"Dallas, Arkansas",0.0
558,"Dallas, Missouri",0.0
559,"Dallas, Texas",0.0
560,"Dane, Wisconsin",0.0
561,"Daniels, Montana",0.0
562,"Danville, Virginia",0.0
563,"Dare, North Carolina",0.0
564,"Darlington, South Carolina",0.0
565,"Dauphin county, Pennsylvania",0.0
566,"Dauphin, Pennsylvania",0.0
567,"Davidson, North Carolina",0.0
568,"Davie, North Carolina",0.0
569,"Daviess, Indiana",0.0
570,"Daviess, Kentucky",0.0
571,"Daviess, Missouri",0.0
572,"Davis, Utah",0.0
573,"Dawes, Nebraska",0.0
574,"Dawson, Montana",0.0
575,"Dawson, Nebraska",0.0010301724137931035
576,"Dawson, Texas",0.0
577,"Day, South Dakota",0.0
578,"De baca, New Mexico",0.0
