,county,methoxychlor
474,"Coleman, Texas",0.0
475,"Coles, Illinois",0.0036363636363636364
476,"Colfax, Nebraska",0.0
477,"Colfax, New Mexico",0.0
478,"Colleton, South Carolina",0.0
479,"Collier, Florida",0.0
480,"Collin, Texas",0.0
481,"Collingsworth, Texas",0.0
482,"Colorado, Texas",0.0
483,"Columbia, Arkansas",0.0
484,"Columbia, Florida",0.0
485,"Columbia, New York",0.0
486,"Columbia, Oregon",0.0
487,"Columbia, Pennsylvania",0.0
488,"Columbia, Washington",0.0
489,"Columbia, Wisconsin",0.0
490,"Columbiana, Ohio",0.0
491,"Columbus county, North Carolina",0.0
492,"Columbus, North Carolina",0.0
493,"Colusa, California",0.0
494,"Comal, Texas",0.0
495,"Comanche, Texas",0.0
496,"Concho, Texas",0.0
497,"Concordia, Louisiana",0.0
498,"Conecuh, Alabama",0.0
499,"Contra costa, California",0.0
500,"Converse, Wyoming",0.0
501,"Conway, Arkansas",0.0
502,"Cook, Illinois",0.0
503,"Cook, Minnesota",0.0
504,"Cooke, Texas",0.0
505,"Cooper, Missouri",0.0
506,"Coos, New Hampshire",0.0
507,"Coos, Oregon",0.0
508,"Coosa, Alabama",0.0
509,"Corson, South Dakota",0.0
510,"Cortland, New York",0.0
511,"Coryell, Texas",0.0
512,"Coshocton, Ohio",0.0
513,"Cottle, Texas",0.0
514,"Cottonwood, Minnesota",0.0
515,"Covington, Alabama",0.0
516,"Covington, Virginia",0.0
517,"Cowley, Kansas",0.0
518,"Cowlitz, Washington",0.0
519,"Craig, Oklahoma",0.0
520,"Craighead, Arkansas",0.0
521,"Crane, Texas",0.0
522,"Craven, North Carolina",0.0
523,"Crawford county, Pennsylvania",0.0
524,"Crawford, Arkansas",0.0
525,"Crawford, Illinois",0.0
526,"Crawford, Indiana",0.0
527,"Crawford, Kansas",0.0
528,"Crawford, Michigan",0.0
529,"Crawford, Missouri",0.0
530,"Crawford, Pennsylvania",0.0
531,"Crawford, Wisconsin",0.0
532,"Creek, Oklahoma",0.0
533,"Crenshaw, Alabama",0.0
534,"Crittenden, Arkansas",0.0
535,"Crittenden, Kentucky",0.0
536,"Crockett, Texas",0.0
537,"Crook, Oregon",0.0
538,"Crook, Wyoming",0.0
539,"Crosby, Texas",0.0
540,"Cross, Arkansas",0.0
541,"Crow wing, Minnesota",0.0
542,"Culberson, Texas",0.0
543,"Cullman, Alabama",0.0
544,"Culpeper, Virginia",0.0
545,"Cumberland county, Pennsylvania",0.0
546,"Cumberland, Illinois",0.0
547,"Cumberland, Kentucky",0.0
548,"Cumberland, Maine",0.0
549,"Cumberland, New Jersey",0.0
550,"Cumberland, North Carolina",0.0
551,"Cumberland, Pennsylvania",0.0
552,"Cumberland, Virginia",0.0
553,"Cuming, Nebraska",0.0
554,"Currituck, North Carolina",0.0
555,"Curry, New Mexico",0.0
556,"Curry, Oregon",0.0
557,"Custer, Idaho",0.0
558,"Custer, Montana",0.0
559,"Custer, Nebraska",0.0
560,"Custer, South Dakota",0.0
561,"Cuyahoga, Ohio",0.0
562,"Dade, Florida",0.0
563,"Dade, Missouri",0.0
564,"Daggett, Utah",0.0
565,"Dakota, Minnesota",0.0
566,"Dakota, Nebraska",0.0
567,"Dale, Alabama",0.0
568,"Dallam, Texas",0.0
569,"Dallas, Alabama",0.0
570,"Dallas, Arkansas",0.0
571,"Dallas, Missouri",0.0
572,"Dallas, Texas",0.0
573,"Dane, Wisconsin",0.0
574,"Daniels, Montana",0.0
575,"Danville, Virginia",0.0
576,"Dare, North Carolina",0.0
577,"Darlington, South Carolina",0.0
578,"Dauphin county, Pennsylvania",0.0
579,"Dauphin, Pennsylvania",0.0
580,"Davidson, North Carolina",0.0
581,"Davie, North Carolina",0.0
582,"Daviess, Indiana",0.0
583,"Daviess, Kentucky",0.0
584,"Daviess, Missouri",0.0
585,"Davis, Utah",0.0
586,"Dawes, Nebraska",0.0
587,"Dawson, Montana",0.0
588,"Dawson, Nebraska",0.0
589,"Dawson, Texas",0.0
590,"Day, South Dakota",0.0
591,"De baca, New Mexico",0.0
592,"De kalb, Indiana",0.0
593,"De kalb, Missouri",0.0
594,"De soto, Florida",0.0
595,"De soto, Louisiana",0.0
596,"De witt, Illinois",0.003404255319148936
597,"Deaf smith, Texas",0.0
598,"Dearborn, Indiana",0.0
599,"Decatur, Indiana",0.0
600,"Deer lodge, Montana",0.0
601,"Defiance, Ohio",0.0
602,"Dekalb, Alabama",0.0
603,"Dekalb, Illinois",0.0005294117647058823
604,"Dekalb, Indiana",0.0
605,"Dekalb, Missouri",0.0
606,"Delaware, Indiana",0.0
607,"Delaware, New York",0.0
608,"Delaware, Ohio",0.0
609,"Delaware, Pennsylvania",0.0
610,"Delta, Michigan",0.0
611,"Delta, Texas",0.0
612,"Dent, Missouri",0.0
613,"Denton, Texas",0.0
614,"Deschutes, Oregon",0.0
615,"Desha, Arkansas",0.0
616,"Desoto, Florida",0.0
617,"Deuel, Nebraska",0.0
618,"Dewey, Oklahoma",0.0
619,"Dewey, South Dakota",0.0
620,"Dewitt, Texas",0.0
621,"Dickens, Texas",0.0
622,"Dickey, North Dakota",0.0
623,"Dickinson, Iowa",0.0
624,"Dickinson, Kansas",0.0
625,"Dickinson, Michigan",0.0
626,"Dillon, South Carolina",0.0
627,"Dimmit, Texas",0.0
628,"Dinwiddie, Virginia",0.0
629,"District of columbia, District of Columbia",0.0
630,"Dixie, Florida",0.0
631,"Dixon, Nebraska",0.0
632,"Doddridge, West Virginia",0.0
633,"Dodge, Minnesota",0.0
634,"Dodge, Nebraska",0.0
635,"Dodge, Wisconsin",0.0
636,"Dona ana, New Mexico",0.05747126436781609
637,"Donley, Texas",0.0
638,"Door, Wisconsin",0.0
639,"Dorchester, Maryland",0.0
640,"Dorchester, South Carolina",0.0
641,"Douglas, Illinois",0.0
642,"Douglas, Kansas",0.0
643,"Douglas, Minnesota",0.0
644,"Douglas, Missouri",0.0
645,"Douglas, Nebraska",0.0
646,"Douglas, Nevada",0.0
647,"Douglas, Oregon",0.0
648,"Douglas, Washington",0.0
649,"Douglas, Wisconsin",0.0
650,"Drew, Arkansas",0.0
651,"Du page, Illinois",0.0
652,"Dubois, Indiana",0.0
653,"Duchesne, Utah",0.0
654,"Dukes, Massachusetts",0.0
655,"Dundy, Nebraska",0.0
656,"Dunklin, Missouri",0.0
657,"Dunn, North Dakota",0.0
658,"Dunn, Wisconsin",0.0
659,"Dupage, Illinois",0.0
660,"Duplin, North Carolina",0.0
661,"Durham, North Carolina",0.0
662,"Dutchess, New York",0.0
663,"Duval county, Florida",0.0
664,"Duval, Florida",0.0
665,"Duval, Texas",0.0
666,"East baton rouge parish, Louisiana",0.0
667,"East baton rouge, Louisiana",0.0
668,"East carroll, Louisiana",0.0
669,"East feliciana, Louisiana",0.0
670,"Eastland, Texas",0.0
671,"Eaton, Michigan",0.0
672,"Eau claire, Wisconsin",0.0
673,"Ector, Texas",0.0
674,"Eddy, New Mexico",0.0
675,"Eddy, North Dakota",0.0
676,"Edgar, Illinois",0.0
677,"Edgecombe, North Carolina",0.0
678,"Edmonson, Kentucky",0.0
679,"Edwards, Illinois",0.0
680,"Edwards, Texas",0.0
681,"Effingham, Illinois",0.0
682,"El dorado, California",0.0
683,"El paso, Texas",0.0
684,"Elk, Kansas",0.0
685,"Elk, Pennsylvania",0.0
686,"Elkhart, Indiana",0.0
687,"Elko, Nevada",0.0
688,"Elliott, Kentucky",0.0
689,"Ellis, Oklahoma",0.0
690,"Ellis, Texas",0.0
691,"Ellsworth, Kansas",0.0
692,"Elmore, Alabama",0.0
693,"Elmore, Idaho",0.0
694,"Emery, Utah",0.0
695,"Emmet, Michigan",0.0
696,"Emmons, North Dakota",0.0
697,"Erath, Texas",0.0
698,"Erie county, Pennsylvania",0.0
699,"Erie, New York",0.0
700,"Erie, Ohio",0.0
701,"Erie, Pennsylvania",0.0
702,"Escambia, Alabama",0.0
703,"Escambia, Florida",0.0
704,"Esmeralda, Nevada",0.0
705,"Essex county, New York",0.0
706,"Essex, Massachusetts",0.0
707,"Essex, New Jersey",0.0
708,"Essex, New York",0.0
709,"Essex, Vermont",0.0
710,"Estill, Kentucky",0.0
711,"Etowah, Alabama",0.0
712,"Eureka county, Nevada",0.0
713,"Eureka, Nevada",0.0
714,"Evangeline parish, Louisiana",0.0
715,"Evangeline, Louisiana",0.0
716,"Fairbanks north star, Alaska",0.0
717,"Fairfax, Virginia",0.0
718,"Fairfield, Connecticut",0.0
719,"Fairfield, Ohio",0.0
720,"Fairfield, South Carolina",0.0
721,"Fall river, South Dakota",0.0
722,"Fallon, Montana",0.0
723,"Falls, Texas",0.0
724,"Fannin, Texas",0.0
725,"Faulk, South Dakota",0.0
726,"Fauquier, Virginia",0.0
727,"Fayette, Alabama",0.0
728,"Fayette, Illinois",0.0
729,"Fayette, Indiana",0.0
730,"Fayette, Kentucky",0.0
731,"Fayette, Ohio",0.0
732,"Fayette, Pennsylvania",0.0
