,county,selenium
426,"Cheatham, Tennessee",0.0
427,"Cheboygan, Michigan",0.07692307692307693
428,"Chelan, Washington",0.0
429,"Chemung, New York",0.0
430,"Chenango, New York",1.156687898089172
431,"Cherokee, Alabama",0.0
432,"Cherokee, Iowa",0.0
433,"Cherokee, Kansas",1.4468750000000001
434,"Cherokee, North Carolina",0.0
435,"Cherokee, Oklahoma",1.1148936170212767
436,"Cherokee, South Carolina",0.0
437,"Cherokee, Texas",0.16782608695652174
438,"Cherry, Nebraska",0.0
439,"Chesapeake city, Virginia",0.0
440,"Chesapeake, Virginia",0.0
441,"Cheshire, New Hampshire",0.009433962264150943
442,"Chester county, Pennsylvania",0.0
443,"Chester, Pennsylvania",0.5343564356435643
444,"Chester, South Carolina",0.0
445,"Chester, Tennessee",0.0
446,"Chesterfield, South Carolina",0.0
447,"Chesterfield, Virginia",0.0
448,"Cheyenne, Kansas",3.733333333333333
449,"Cheyenne, Nebraska",1.7145833333333333
450,"Chickasaw, Iowa",0.0
451,"Chicot, Arkansas",0.0
452,"Chilton, Alabama",0.0
453,"Chippewa, Michigan",0.0
454,"Chippewa, Minnesota",0.0
455,"Chippewa, Wisconsin",0.30363636363636365
456,"Chisago, Minnesota",0.0
457,"Chittenden, Vermont",0.0
458,"Choctaw, Alabama",0.0
459,"Choctaw, Oklahoma",0.0
460,"Chouteau, Montana",0.4117647058823529
461,"Chowan, North Carolina",2.1666666666666665
462,"Christian, Illinois",0.9111538461538461
463,"Christian, Kentucky",0.030000000000000002
464,"Christian, Missouri",0.7133613445378151
465,"Churchill, Nevada",0.4444444444444444
466,"Cibola, New Mexico",3.1596519166666663
467,"Cimarron, Oklahoma",0.0
468,"Citrus county, Florida",1.4
469,"Citrus, Florida",0.5702020202020202
470,"Clackamas, Oregon",0.006845637583892617
471,"Claiborne, Louisiana",0.0
472,"Claiborne, Tennessee",0.22000000000000003
473,"Clallam, Washington",0.0
474,"Clare, Michigan",1.25
475,"Clarendon, South Carolina",0.07647058823529412
476,"Clarion, Pennsylvania",0.0
477,"Clark, Arkansas",0.0
478,"Clark, Idaho",0.0
479,"Clark, Illinois",0.4153846153846154
480,"Clark, Indiana",0.20833333333333334
481,"Clark, Kansas",9.053846153846154
482,"Clark, Kentucky",0.5333333333333333
483,"Clark, Missouri",0.0
484,"Clark, Nevada",1.6141068917018273
485,"Clark, Ohio",0.0
486,"Clark, South Dakota",3.1333333333333333
487,"Clark, Washington",0.0
488,"Clark, Wisconsin",0.1873913043478261
489,"Clarke, Alabama",0.0
490,"Clarke, Virginia",0.0
491,"Clatsop, Oregon",0.0
492,"Clay, Alabama",0.0
493,"Clay, Arkansas",0.0
494,"Clay, Florida",0.4596330275229357
495,"Clay, Illinois",0.0
496,"Clay, Indiana",0.4
497,"Clay, Iowa",0.0
498,"Clay, Kansas",18.393103448275852
499,"Clay, Kentucky",0.0
500,"Clay, Minnesota",0.0
501,"Clay, Missouri",0.0
502,"Clay, Nebraska",12.681923076923074
503,"Clay, North Carolina",0.0
504,"Clay, South Dakota",0.8
505,"Clay, Tennessee",0.0
506,"Clay, Texas",2.4975
507,"Clay, West Virginia",0.0
508,"Clayton, Iowa",0.0
509,"Clearfield county, Pennsylvania",0.0
510,"Clearfield, Pennsylvania",0.0
511,"Clearwater, Idaho",0.21583333333333332
512,"Clearwater, Minnesota",0.0
513,"Cleburne, Alabama",0.0
514,"Cleburne, Arkansas",0.0
515,"Clermont, Ohio",0.0
516,"Cleveland, Arkansas",0.0
517,"Cleveland, North Carolina",0.0
518,"Cleveland, Oklahoma",2.8816326530612244
519,"Clinton, Illinois",1.018076923076923
520,"Clinton, Indiana",0.0
521,"Clinton, Iowa",0.7619047619047619
522,"Clinton, Kentucky",0.0
523,"Clinton, Michigan",0.15
524,"Clinton, Missouri",0.0
525,"Clinton, New York",0.015267175572519083
526,"Clinton, Ohio",0.28500000000000003
527,"Clinton, Pennsylvania",0.4538461538461538
528,"Cloud, Kansas",6.541935483870967
529,"Coal, Oklahoma",0.0
530,"Cochise, Arizona",0.22448979591836735
531,"Cochran, Texas",32.800000000000004
532,"Cocke, Tennessee",0.0
533,"Coconino, Arizona",0.36190476190476195
534,"Codington, South Dakota",1.9666666666666668
535,"Coffee, Alabama",0.0025714285714285717
536,"Coffee, Tennessee",0.0
537,"Coffey, Kansas",1.3499999999999999
538,"Coke, Texas",1.0250000000000001
539,"Colbert, Alabama",0.22214285714285714
540,"Cole, Missouri",0.2987012987012987
541,"Coleman, Texas",6.1000000000000005
542,"Coles, Illinois",0.27
543,"Colfax, Nebraska",22.05551724137931
544,"Colfax, New Mexico",0.0
545,"Colleton, South Carolina",0.045000000000000005
546,"Collier, Florida",0.47777777777777775
547,"Collin, Texas",0.6948947368421051
548,"Collingsworth, Texas",3.2
549,"Colorado, Texas",2.4210526315789473
550,"Columbia county, Pennsylvania",0.0
551,"Columbia, Arkansas",0.0
552,"Columbia, Florida",2.455172413793103
553,"Columbia, New York",0.0
554,"Columbia, Oregon",0.0
555,"Columbia, Pennsylvania",0.0
556,"Columbia, Washington",0.0
557,"Columbia, Wisconsin",0.025350877192982457
558,"Columbiana, Ohio",0.2196078431372549
559,"Columbus county, North Carolina",0.0
560,"Columbus, North Carolina",0.21621621621621623
561,"Colusa, California",0.37049180327868847
562,"Comal, Texas",0.7539405940594062
563,"Comanche, Kansas",2.05
