,county,beta_particles
62,"Baylor, Texas",3.0666666666666664
63,"Beadle, South Dakota",0.0
64,"Bear lake, Idaho",2.335
65,"Beaufort, North Carolina",0.47857142857142854
66,"Beauregard, Louisiana",0.0
67,"Beaver, Oklahoma",5.679166666666667
68,"Beaver, Pennsylvania",1.0478947368421052
69,"Beaver, Utah",3.4852272727272675
70,"Beaverhead, Montana",4.5
71,"Beckham, Oklahoma",2.7373846153846153
72,"Bedford, Pennsylvania",0.0
73,"Bedford, Virginia",3.516666666666667
74,"Bee, Texas",6.181250000000001
75,"Bell, Texas",1.5866666666666664
76,"Beltrami county, Minnesota",2.7
77,"Bennett, South Dakota",0.0
78,"Benton county, Arkansas",0.0
79,"Benton, Arkansas",1.0545454545454545
80,"Benton, Washington",5.15284
81,"Berkeley, West Virginia",0.9900000000000001
82,"Berks, Pennsylvania",0.3773559322033898
83,"Bernalillo, New Mexico",18.553951456310674
84,"Bertie, North Carolina",4.2860000000000005
85,"Bethel, Alaska",6.717567567567567
86,"Bexar, Texas",1.1941798941798942
87,"Bienville, Louisiana",0.36
88,"Big horn, Wyoming",5.0
89,"Bingham, Idaho",5.130000000000001
90,"Blackford, Indiana",2.9
91,"Bladen, North Carolina",1.565753424657534
92,"Blaine, Idaho",3.115
93,"Blaine, Oklahoma",1.612
94,"Blair, Pennsylvania",0.0
95,"Blanco, Texas",2.5461538461538455
96,"Bland, Virginia",2.45
97,"Boise, Idaho",0.0
98,"Bon homme, South Dakota",0.0
99,"Bonneville, Idaho",6.147857142857142
100,"Boone, Arkansas",1.0041666666666669
101,"Boone, Missouri",7.416666666666668
102,"Bosque, Texas",0.8872727272727272
103,"Bossier, Louisiana",0.27045454545454545
104,"Botetourt, Virginia",2.947244897959183
105,"Bowie, Texas",0.15714285714285717
106,"Box elder, Utah",3.561111111111111
107,"Boyle, Kentucky",1.2
108,"Bradford, Pennsylvania",0.0
109,"Bradley, Arkansas",0.4384615384615384
110,"Braxton, West Virginia",1.0
111,"Brazoria, Texas",1.595412844036697
112,"Brazos, Texas",1.835294117647059
113,"Breathitt, Kentucky",5.6
114,"Brewster, Texas",18.874999999999996
115,"Briscoe, Texas",12.25
116,"Bristol bay, Alaska",8.06
117,"Bristol, Massachusetts",0.17333333333333334
118,"Bristol, Virginia",1.5
119,"Broadwater, Montana",6.666666666666667
120,"Brookings, South Dakota",0.0
121,"Brooks, Texas",8.72857142857143
122,"Broome, New York",1.2857142857142858
123,"Brown, South Dakota",0.0
124,"Brown, Texas",7.849999999999999
125,"Brown, Wisconsin",5.012222222222222
126,"Brule, South Dakota",0.0
127,"Brunswick, North Carolina",0.0
128,"Brunswick, Virginia",2.45
129,"Bryan, Oklahoma",2.7962631578947366
130,"Buchanan, Virginia",2.3
131,"Buckingham, Virginia",1.9333333333333336
132,"Bucks, Pennsylvania",2.290909090909091
133,"Buena vista, Virginia",2.075
134,"Buffalo, Wisconsin",1.1
135,"Buncombe, North Carolina",1.45561797752809
136,"Burke, North Carolina",4.32
137,"Burleson, Texas",1.7303030303030302
138,"Burnet, Texas",8.17282608695652
139,"Burnett, Wisconsin",0.0
140,"Butler, Nebraska",16.85
141,"Butler, Ohio",0.0
142,"Butler, Pennsylvania",0.0
143,"Butte, California",0.0
144,"Butte, South Dakota",0.0
145,"Cabarrus, North Carolina",4.50623188405797
146,"Cabell, West Virginia",3.0
147,"Cache, Utah",2.474
148,"Caddo parish, Louisiana",0.75
149,"Caddo, Louisiana",1.2925675675675676
150,"Caddo, Oklahoma",4.0181818181818185
151,"Calaveras, California",0.52
152,"Calcasieu, Louisiana",0.45942857142857135
153,"Caldwell, Louisiana",0.596969696969697
154,"Caldwell, North Carolina",0.0
155,"Caldwell, Texas",2.441666666666667
156,"Calhoun, Arkansas",0.27499999999999997
157,"Calhoun, Texas",2.39
158,"Callahan, Texas",5.283333333333332
159,"Calloway, Kentucky",2.0
160,"Calumet, Wisconsin",1.57
161,"Calvert, Maryland",9.196551724137933
162,"Camden, North Carolina",0.0
163,"Cameron, Louisiana",0.7333333333333333
164,"Cameron, Texas",4.455000000000001
165,"Camp, Texas",0.396
166,"Campbell, Virginia",2.9250000000000007
167,"Canadian, Oklahoma",4.185875
168,"Canyon, Idaho",8.845714285714285
169,"Carbon, Montana",0.0
170,"Carbon, Pennsylvania",3.06
171,"Carbon, Utah",3.7249999999999996
172,"Caribou, Idaho",11.14
173,"Caroline, Maryland",7.792307692307691
174,"Caroline, Virginia",5.436132075471701
175,"Carroll, Arkansas",1.1167832167832166
176,"Carroll, Illinois",5.2
177,"Carroll, Iowa",3.5
178,"Carroll, Maryland",2.486904761904762
179,"Carroll, Virginia",5.615116279069767
180,"Carson city, Nevada",3.6408047945205486
181,"Carson, Texas",8.084615384615384
182,"Carter, Oklahoma",4.827718309859156
183,"Carteret, North Carolina",4.628857142857143
184,"Cascade, Montana",2.38
185,"Casey, Kentucky",2.625
186,"Cass, Indiana",1.37125
187,"Cass, Minnesota",2.5
188,"Cass, Texas",2.1133333333333337
189,"Castro, Texas",8.299999999999999
190,"Caswell, North Carolina",7.960833333333333
191,"Catahoula, Louisiana",1.3499999999999999
192,"Catawba, North Carolina",1.8566929133858263
193,"Catron, New Mexico",4.213793103448276
194,"Cattaraugus, New York",3.48
195,"Cayuga, New York",0.0
196,"Cecil, Maryland",5.452903225806452
197,"Centre, Pennsylvania",0.10442622950819672
198,"Chambers, Texas",0.27714285714285714
199,"Champaign, Illinois",2.1999999999999997
200,"Charles mix, South Dakota",0.0
201,"Charles, Maryland",3.967741935483871
202,"Charlotte, Virginia",5.535714285714285
203,"Chatham, North Carolina",2.3850000000000002
204,"Chautauqua, New York",1.6875
205,"Chaves, New Mexico",2.2399999999999998
