,county,chromium
419,"Charlotte, Virginia",0.08333333333333333
420,"Chase, Kansas",5.736363636363636
421,"Chase, Nebraska",4.891249999999999
422,"Chatham, North Carolina",0.0
423,"Chautauqua, Kansas",2.727272727272727
424,"Chautauqua, New York",0.0016806722689075631
425,"Chaves, New Mexico",4.33090909090909
426,"Cheatham, Tennessee",0.0
427,"Cheboygan, Michigan",0.0
428,"Chelan, Washington",0.09803921568627451
429,"Chemung, New York",0.023529411764705882
430,"Chenango, New York",1.375796178343949
431,"Cherokee, Alabama",0.0
432,"Cherokee, Iowa",0.0
433,"Cherokee, Kansas",1.9968750000000004
434,"Cherokee, North Carolina",0.0
435,"Cherokee, Oklahoma",0.0
436,"Cherokee, South Carolina",0.0
437,"Cherokee, Texas",1.4838695652173914
438,"Cherry, Nebraska",3.33875
439,"Chesapeake city, Virginia",0.0
440,"Chesapeake, Virginia",0.0
441,"Cheshire, New Hampshire",0.02830188679245283
442,"Chester county, Pennsylvania",2.8000000000000003
443,"Chester, Pennsylvania",1.2634
444,"Chester, South Carolina",0.0
445,"Chester, Tennessee",0.0
446,"Chesterfield, South Carolina",0.0
447,"Chesterfield, Virginia",0.0
448,"Cheyenne, Kansas",2.583333333333333
449,"Cheyenne, Nebraska",3.755833333333334
450,"Chickasaw, Iowa",0.0
451,"Chicot, Arkansas",0.06666666666666667
452,"Chilton, Alabama",0.0
453,"Chippewa, Michigan",1.3433333333333335
454,"Chippewa, Minnesota",0.0
455,"Chippewa, Wisconsin",0.3606060606060606
456,"Chisago, Minnesota",0.0
457,"Chittenden, Vermont",0.0
458,"Choctaw, Alabama",0.0
459,"Choctaw, Oklahoma",0.8153846153846154
460,"Chouteau, Montana",0.0
461,"Chowan, North Carolina",0.0
462,"Christian, Illinois",0.0
463,"Christian, Kentucky",0.0
464,"Christian, Missouri",0.84890756302521
465,"Churchill, Nevada",0.5185185185185185
466,"Cibola, New Mexico",0.9118795277777778
467,"Cimarron, Oklahoma",0.0
468,"Citrus county, Florida",0.0
469,"Citrus, Florida",0.4772727272727272
470,"Clackamas, Oregon",0.09479729729729729
471,"Claiborne, Louisiana",0.018867924528301886
472,"Claiborne, Tennessee",0.27599999999999997
473,"Clallam, Washington",0.058333333333333334
474,"Clare, Michigan",0.0
475,"Clarendon, South Carolina",0.25
476,"Clarion, Pennsylvania",0.0
477,"Clark, Arkansas",0.0
478,"Clark, Idaho",2.6799999999999997
479,"Clark, Illinois",0.0
480,"Clark, Indiana",0.0
481,"Clark, Kansas",3.361538461538461
482,"Clark, Kentucky",0.0
483,"Clark, Missouri",0.3625
484,"Clark, Nevada",1.0256601123595508
485,"Clark, Ohio",0.0
486,"Clark, South Dakota",12.066666666666668
487,"Clark, Washington",0.21133333333333332
488,"Clark, Wisconsin",0.6223188405797101
489,"Clarke, Alabama",0.0
490,"Clarke, Virginia",0.0
491,"Clatsop, Oregon",0.009090909090909092
492,"Clay, Alabama",0.0
493,"Clay, Arkansas",0.15217391304347827
494,"Clay, Florida",0.2715596330275229
495,"Clay, Illinois",0.0
496,"Clay, Indiana",0.4
497,"Clay, Iowa",0.0
498,"Clay, Kansas",2.4347826086956523
499,"Clay, Kentucky",0.0
500,"Clay, Minnesota",3.8470588235294123
501,"Clay, Missouri",0.633888888888889
502,"Clay, Nebraska",4.7773076923076925
503,"Clay, North Carolina",0.0
504,"Clay, South Dakota",0.4
505,"Clay, Tennessee",0.0
506,"Clay, Texas",1.558
507,"Clay, West Virginia",0.125
