,county,ethylene_dibromide
547,"Curry, Oregon",0.0
548,"Custer, Idaho",0.0
549,"Custer, Nebraska",0.0
550,"Custer, Oklahoma",0.0
551,"Custer, South Dakota",0.0
552,"Dade, Florida",0.0
553,"Dade, Missouri",0.0
554,"Dakota, Minnesota",0.0
555,"Dakota, Nebraska",0.0
556,"Dale, Alabama",0.0
557,"Dallam, Texas",0.0
558,"Dallas, Alabama",0.0
559,"Dallas, Arkansas",0.0
560,"Dallas, Missouri",0.0
561,"Dallas, Texas",0.0
562,"Dane, Wisconsin",0.0
563,"Danville, Virginia",0.0
564,"Dare, North Carolina",0.0
565,"Darke, Ohio",0.0
566,"Darlington, South Carolina",0.0
567,"Dauphin county, Pennsylvania",0.0
568,"Dauphin, Pennsylvania",0.0
569,"Davidson, North Carolina",0.0
570,"Davie, North Carolina",0.0
571,"Daviess, Indiana",0.0
572,"Daviess, Kentucky",0.0
573,"Daviess, Missouri",0.0
574,"Dawes, Nebraska",0.0
575,"Dawson, Nebraska",0.0
576,"Dawson, Texas",0.0
577,"Day, South Dakota",0.0
578,"De baca, New Mexico",0.0
579,"De kalb, Indiana",0.0
580,"De kalb, Missouri",0.0
581,"De soto, Florida",0.0
582,"De soto, Louisiana",0.0
583,"De witt, Illinois",0.0
584,"Deaf smith, Texas",0.0
585,"Dearborn, Indiana",0.0
586,"Decatur, Indiana",0.0
587,"Decatur, Kansas",0.0
588,"Deer lodge, Montana",0.0
589,"Dekalb, Alabama",0.0
590,"Dekalb, Illinois",0.0
591,"Dekalb, Indiana",0.0
592,"Dekalb, Missouri",0.0
593,"Del norte county, California",0.0
594,"Del norte, California",0.0
595,"Delaware, Indiana",0.0
596,"Delaware, New York",0.0
597,"Delaware, Oklahoma",0.0
598,"Delaware, Pennsylvania",0.0
599,"Delta, Texas",0.0
600,"Denali, Alaska",0.0
601,"Dent, Missouri",0.0
602,"Denton, Texas",0.0
603,"Deschutes, Oregon",0.0
604,"Desha, Arkansas",0.0
605,"Desoto, Florida",0.0
606,"Deuel, Nebraska",0.0
607,"Dewey, Oklahoma",0.0
608,"Dewey, South Dakota",0.0
609,"Dewitt, Texas",0.0
610,"Dickens, Texas",0.0
611,"Dickenson, Virginia",0.0
612,"Dickey, North Dakota",0.0
613,"Dickinson, Kansas",0.0
614,"Dillingham, Alaska",0.0
615,"Dillon, South Carolina",0.0
616,"Dimmit, Texas",0.0
617,"Dinwiddie, Virginia",0.0
618,"District of columbia, District of Columbia",0.0
619,"Dixie, Florida",0.0
620,"Dixon, Nebraska",0.0
621,"Doddridge, West Virginia",0.0
622,"Dodge, Minnesota",0.0
623,"Dodge, Nebraska",0.0
624,"Dodge, Wisconsin",0.0
625,"Dona ana, New Mexico",0.002575107296137339
626,"Doniphan, Kansas",0.0
627,"Donley, Texas",0.0
628,"Door, Wisconsin",0.0
629,"Dorchester, South Carolina",0.0
630,"Douglas, Illinois",0.0
631,"Douglas, Kansas",0.0
632,"Douglas, Minnesota",0.0
633,"Douglas, Missouri",0.0
634,"Douglas, Nebraska",0.0
635,"Douglas, Nevada",0.0
636,"Douglas, Oregon",0.0
637,"Douglas, Washington",0.0
638,"Douglas, Wisconsin",0.0
639,"Drew, Arkansas",0.0
640,"Du page, Illinois",0.0
641,"Dubois, Indiana",0.0
642,"Dukes, Massachusetts",0.0
643,"Dundy, Nebraska",0.0
644,"Dunklin, Missouri",0.0
645,"Dunn, Wisconsin",0.0
646,"Dupage, Illinois",0.0
647,"Duplin, North Carolina",0.0
648,"Durham, North Carolina",0.0
649,"Dutchess, New York",0.0
650,"Duval county, Florida",0.0
651,"Duval, Florida",0.0001942857142857143
652,"Duval, Texas",0.0
653,"East baton rouge parish, Louisiana",0.0
654,"East baton rouge, Louisiana",0.0
655,"East carroll, Louisiana",0.0
656,"East feliciana, Louisiana",0.0
657,"Eastland, Texas",0.0
658,"Eau claire, Wisconsin",0.0
659,"Ector, Texas",0.0
660,"Eddy, New Mexico",5.747126436781609e-05
661,"Edgar, Illinois",0.0
662,"Edgecombe, North Carolina",0.0
663,"Edmonson, Kentucky",0.0
664,"Edwards, Illinois",0.0
665,"Edwards, Kansas",0.0
666,"Edwards, Texas",0.0
667,"Effingham, Illinois",0.0
668,"El dorado, California",0.0
669,"El paso, Texas",0.0
670,"Elk, Kansas",0.0
671,"Elk, Pennsylvania",0.0
672,"Elkhart, Indiana",0.0
673,"Elko, Nevada",0.0
674,"Elliott, Kentucky",0.0
675,"Ellis, Kansas",0.0
676,"Ellis, Oklahoma",0.0
677,"Ellis, Texas",0.0
678,"Ellsworth, Kansas",0.0
679,"Elmore, Alabama",0.0
680,"Elmore, Idaho",0.0
681,"Erath, Texas",0.0
682,"Erie county, Pennsylvania",0.0
683,"Erie, New York",0.0
684,"Erie, Pennsylvania",0.0
685,"Escambia, Alabama",0.0
686,"Escambia, Florida",0.0020388888888888887
687,"Esmeralda, Nevada",0.0
688,"Essex county, New York",0.0
689,"Essex, Massachusetts",0.0
690,"Essex, New Jersey",0.0
691,"Essex, New York",0.0
692,"Essex, Vermont",0.0
693,"Essex, Virginia",0.0
694,"Estill, Kentucky",0.0
695,"Etowah, Alabama",0.0
696,"Eureka county, Nevada",0.0
697,"Eureka, Nevada",0.0
698,"Evangeline parish, Louisiana",0.0
699,"Evangeline, Louisiana",0.0
700,"Fairbanks north star, Alaska",0.0
701,"Fairfax, Virginia",0.0
702,"Fairfield, Connecticut",0.0002360876897133221
703,"Fairfield, South Carolina",0.0
704,"Fall river, South Dakota",0.0
705,"Falls, Texas",0.0
706,"Fannin, Texas",0.0
707,"Faribault, Minnesota",0.0
708,"Faulk, South Dakota",0.0
709,"Fauquier, Virginia",0.0
710,"Fayette, Alabama",0.0
711,"Fayette, Illinois",0.0
712,"Fayette, Indiana",0.0
713,"Fayette, Kentucky",0.0
714,"Fayette, Pennsylvania",0.0
715,"Fayette, Texas",0.0
716,"Fayette, West Virginia",0.0
717,"Ferry, Washington",0.0
718,"Fillmore, Minnesota",0.0
719,"Fillmore, Nebraska",0.0
720,"Finney, Kansas",0.0
721,"Fisher, Texas",0.0
722,"Flagler, Florida",0.0
723,"Flathead, Montana",0.0
724,"Fleming, Kentucky",0.0
725,"Florence, South Carolina",0.0
726,"Floyd, Indiana",0.0
727,"Floyd, Kentucky",0.0
728,"Floyd, Texas",0.0
729,"Floyd, Virginia",0.0
730,"Fluvanna, Virginia",0.0
731,"Foard, Texas",0.0
732,"Fond du lac, Wisconsin",0.0
733,"Ford, Illinois",0.0
734,"Ford, Kansas",0.0
735,"Forest, Pennsylvania",0.0
736,"Forest, Wisconsin",0.0
737,"Forsyth, North Carolina",0.0
738,"Fort bend county, Texas",0.0
739,"Fort bend, Texas",0.0
740,"Fountain, Indiana",0.0
741,"Franklin county, Missouri",0.0
742,"Franklin county, New York",0.0
743,"Franklin county, Pennsylvania",0.0
744,"Franklin, Alabama",0.0
745,"Franklin, Arkansas",0.0
746,"Franklin, Florida",0.0
747,"Franklin, Idaho",0.0
748,"Franklin, Illinois",0.0
749,"Franklin, Indiana",0.0
750,"Franklin, Kansas",0.0
751,"Franklin, Kentucky",0.0
752,"Franklin, Louisiana",0.0
753,"Franklin, Massachusetts",0.0
754,"Franklin, Missouri",0.0
755,"Franklin, Nebraska",0.0
756,"Franklin, New York",0.0
757,"Franklin, North Carolina",0.0
758,"Franklin, Pennsylvania",0.0
759,"Franklin, Texas",0.0
760,"Franklin, Vermont",0.0
761,"Franklin, Virginia",0.0
762,"Franklin, Washington",0.0
763,"Frederick, Virginia",0.0
764,"Freeborn, Minnesota",0.0
765,"Freestone, Texas",0.0
766,"Fremont, Idaho",0.0
767,"Fremont, Wyoming",0.0
768,"Fresno, California",0.00042244224422442235
769,"Frio, Texas",0.0
770,"Frontier, Nebraska",0.0
771,"Fulton, Arkansas",0.0
772,"Fulton, Illinois",0.0
773,"Fulton, Indiana",0.0
774,"Fulton, Kentucky",0.0
775,"Fulton, New York",0.0
776,"Fulton, Ohio",0.0
777,"Fulton, Pennsylvania",0.0
778,"Furnas, Nebraska",0.0
779,"Gadsden, Florida",0.0
780,"Gage, Nebraska",0.0
781,"Gaines, Texas",0.0
782,"Galax, Virginia",0.0
783,"Gallatin, Illinois",0.0
784,"Gallatin, Kentucky",0.0007666666666666667
785,"Gallatin, Montana",0.0
786,"Galveston, Texas",0.0
787,"Garden, Nebraska",0.0
788,"Garfield, Nebraska",0.0
789,"Garfield, Oklahoma",0.0
790,"Garfield, Washington",0.0
791,"Garland, Arkansas",0.0
