,county,cyanide
313,"Catahoula, Louisiana",0.0
314,"Catawba, North Carolina",0.4065040650406504
315,"Catron, New Mexico",0.16322580645161291
316,"Cattaraugus, New York",0.8359375
317,"Cayuga county, New York",0.0
318,"Cayuga, New York",0.02857142857142857
319,"Cedar, Missouri",0.0
320,"Cedar, Nebraska",0.0
321,"Centre county, Pennsylvania",0.0
322,"Centre, Pennsylvania",0.0
323,"Chambers, Alabama",0.0
324,"Chambers, Texas",0.0
325,"Champaign, Illinois",0.17105263157894737
326,"Champaign, Ohio",0.0
327,"Chariton, Missouri",0.0
328,"Charles city, Virginia",0.0
329,"Charlevoix, Michigan",0.0
330,"Charlotte, Florida",1.1875
331,"Charlotte, Virginia",0.0
332,"Chase, Nebraska",0.0
333,"Chatham, North Carolina",0.0
334,"Chautauqua, New York",0.3181818181818182
335,"Chaves, New Mexico",0.07575757575757576
336,"Cheatham, Tennessee",0.0
337,"Cheboygan, Michigan",0.0
338,"Chelan, Washington",0.10784313725490197
339,"Chemung, New York",3.164705882352941
340,"Chenango, New York",1.7857142857142858
341,"Cherokee, Alabama",0.0
342,"Cherokee, North Carolina",0.0
343,"Cherokee, Oklahoma",0.0
344,"Cherry, Nebraska",0.0
345,"Chesapeake city, Virginia",1.25
346,"Chesapeake, Virginia",0.0
347,"Cheshire, New Hampshire",0.0
348,"Chester county, Pennsylvania",0.0
349,"Chester, Pennsylvania",0.0
350,"Chester, Tennessee",0.0
351,"Chesterfield, Virginia",0.0
352,"Cheyenne, Nebraska",0.0
353,"Chicot, Arkansas",0.0
354,"Chilton, Alabama",0.0
355,"Chippewa, Michigan",0.0
356,"Chippewa, Minnesota",0.0
357,"Chippewa, Wisconsin",11.5
358,"Chisago, Minnesota",0.0
359,"Chittenden, Vermont",0.0
360,"Choctaw, Alabama",0.0
361,"Choctaw, Oklahoma",0.0
362,"Chowan, North Carolina",0.0
363,"Christian, Illinois",0.5283333333333334
364,"Christian, Kentucky",0.0
365,"Christian, Missouri",0.0
366,"Churchill, Nevada",0.0
367,"Cibola, New Mexico",0.0
368,"Cimarron, Oklahoma",0.0
369,"Citrus county, Florida",0.0
370,"Citrus, Florida",0.10505050505050507
371,"Clackamas, Oregon",0.4917808219178082
372,"Claiborne, Louisiana",0.0
373,"Claiborne, Tennessee",0.0
374,"Clallam, Washington",0.0
375,"Clare, Michigan",0.0
376,"Clarion, Pennsylvania",0.0
377,"Clark, Arkansas",4.444444444444445
378,"Clark, Illinois",0.0
379,"Clark, Indiana",0.0
380,"Clark, Kentucky",0.0
381,"Clark, Nevada",0.03249630723781388
382,"Clark, Ohio",0.11415094339622642
383,"Clark, Washington",0.8333333333333334
384,"Clark, Wisconsin",0.0
385,"Clarke, Alabama",0.0
386,"Clarke, Virginia",0.0
387,"Clatsop, Oregon",0.0
388,"Clay, Alabama",0.0
389,"Clay, Arkansas",0.0
390,"Clay, Florida",0.3917431192660551
391,"Clay, Illinois",0.0
392,"Clay, Indiana",0.0
393,"Clay, Kentucky",0.0
394,"Clay, Minnesota",0.0
395,"Clay, Nebraska",0.0
396,"Clay, North Carolina",0.0
397,"Clay, Tennessee",0.0
398,"Clay, Texas",20.5
399,"Clay, West Virginia",0.0
400,"Clearfield county, Pennsylvania",0.0
401,"Clearfield, Pennsylvania",0.0
402,"Clearwater, Idaho",0.0
403,"Clearwater, Minnesota",0.0
404,"Cleburne, Alabama",0.0
405,"Cleburne, Arkansas",12.857142857142858
406,"Clermont, Ohio",0.0
407,"Cleveland, Arkansas",0.0
408,"Cleveland, North Carolina",0.8888888888888888
409,"Cleveland, Oklahoma",0.2777777777777778
410,"Clinton, Illinois",0.0
411,"Clinton, Indiana",0.0
412,"Clinton, Iowa",0.0
413,"Clinton, Kentucky",0.0
414,"Clinton, Michigan",0.0
415,"Clinton, New York",2.5714285714285716
416,"Clinton, Ohio",0.5
417,"Clinton, Pennsylvania",0.0
418,"Cochise, Arizona",0.0
419,"Cochran, Texas",0.0
420,"Cocke, Tennessee",1.35
421,"Coconino, Arizona",0.07874015748031496
422,"Coffee, Alabama",0.6485714285714287
423,"Coffee, Tennessee",0.014285714285714287
424,"Colbert, Alabama",0.0
425,"Cole, Missouri",0.0
426,"Coles, Illinois",0.0
427,"Colfax, Nebraska",0.0
428,"Colfax, New Mexico",0.0
429,"Collier, Florida",2.9453125
430,"Collin, Texas",3.65
431,"Colorado, Texas",0.0
432,"Columbia county, Pennsylvania",0.0
433,"Columbia, Arkansas",0.0
434,"Columbia, Florida",0.7517241379310345
435,"Columbia, New York",0.0967741935483871
436,"Columbia, Oregon",0.0
437,"Columbia, Pennsylvania",0.0
438,"Columbia, Washington",0.0
439,"Columbia, Wisconsin",2.4444444444444446
440,"Columbiana, Ohio",0.23861386138613863
441,"Columbus county, North Carolina",6.666666666666667
442,"Columbus, North Carolina",0.6756756756756757
443,"Colusa, California",0.0
444,"Comal, Texas",4.15
445,"Comanche, Oklahoma",0.0
446,"Comanche, Texas",0.0
447,"Concordia, Louisiana",0.0
448,"Conecuh, Alabama",0.7333333333333333
449,"Contra costa, California",6.0227272727272725
450,"Converse, Wyoming",0.0
451,"Conway, Arkansas",0.0
452,"Cook, Illinois",0.12946428571428573
453,"Cook, Minnesota",0.0
454,"Cooke, Texas",34.5
455,"Cooper, Missouri",0.0
456,"Coos, New Hampshire",0.0
457,"Coos, Oregon",0.0
458,"Coosa, Alabama",0.0
459,"Cortland, New York",0.10891089108910891
460,"Coshocton, Ohio",0.0
461,"Cottonwood county, Minnesota",0.0
462,"Cottonwood, Minnesota",0.0
463,"Covington, Alabama",1.1454545454545455
464,"Cowlitz, Washington",3.245454545454545
465,"Craig, Oklahoma",0.0
466,"Craig, Virginia",0.0
467,"Craighead, Arkansas",0.0
468,"Craven, North Carolina",0.0
469,"Crawford county, Pennsylvania",0.0
470,"Crawford, Arkansas",0.0
471,"Crawford, Illinois",0.625
472,"Crawford, Indiana",0.0
473,"Crawford, Michigan",0.625
474,"Crawford, Missouri",0.0
475,"Crawford, Ohio",0.0
476,"Crawford, Pennsylvania",0.3673469387755102
477,"Creek, Oklahoma",0.0
478,"Crenshaw, Alabama",0.0
479,"Crittenden, Arkansas",0.0
480,"Crittenden, Kentucky",0.0
481,"Crockett, Tennessee",0.0
482,"Crook, Oregon",0.0
483,"Crook, Wyoming",0.0
484,"Cross, Arkansas",0.0
485,"Crow wing, Minnesota",0.0
486,"Cullman, Alabama",0.0
487,"Culpeper, Virginia",0.3076923076923077
488,"Cumberland, Illinois",0.0
489,"Cumberland, Kentucky",0.0
490,"Cumberland, Maine",0.0
491,"Cumberland, New Jersey",0.01762114537444934
492,"Cumberland, North Carolina",0.0
493,"Cumberland, Pennsylvania",0.0
494,"Cumberland, Tennessee",0.0
495,"Cumberland, Virginia",0.0
496,"Cuming, Nebraska",0.0
497,"Currituck, North Carolina",0.0
498,"Curry, New Mexico",0.0
499,"Curry, Oregon",0.4125
500,"Custer, Idaho",0.0
501,"Custer, Nebraska",0.0
502,"Custer, Oklahoma",0.0
503,"Custer, South Dakota",0.0
504,"Cuyahoga, Ohio",0.0
505,"Dade, Florida",0.0
506,"Dade, Missouri",0.0
507,"Daggett, Utah",0.0
508,"Dakota, Minnesota",2.0
509,"Dakota, Nebraska",60.26315789473684
510,"Dale, Alabama",0.4
511,"Dallas, Alabama",0.78125
512,"Dallas, Arkansas",0.0
513,"Dallas, Missouri",0.0
514,"Dallas, Texas",3.65
515,"Dane, Wisconsin",0.0
516,"Danville, Virginia",0.0
517,"Dare, North Carolina",4.545454545454546
518,"Darke, Ohio",0.0
519,"Dauphin county, Pennsylvania",0.0
520,"Dauphin, Pennsylvania",0.0
521,"Davidson, North Carolina",0.0
522,"Davidson, Tennessee",0.0
523,"Davie, North Carolina",0.45
524,"Daviess, Indiana",0.0
525,"Daviess, Kentucky",0.0
526,"Davis, Utah",0.07017543859649122
527,"Dawes, Nebraska",0.0
528,"Dawson, Nebraska",0.0
529,"De baca, New Mexico",0.0
530,"De kalb, Indiana",0.0
531,"De soto, Florida",2.292857142857143
532,"De soto, Louisiana",0.0
533,"De witt, Illinois",0.30434782608695654
534,"Deaf smith, Texas",0.0
535,"Dearborn, Indiana",0.0
536,"Decatur, Indiana",0.0
537,"Decatur, Tennessee",0.0
538,"Defiance, Ohio",0.0
539,"Dekalb, Alabama",0.0
540,"Dekalb, Illinois",0.12396694214876033
541,"Dekalb, Indiana",0.0
542,"Dekalb, Tennessee",0.0
543,"Del norte county, California",0.0
544,"Delaware, Indiana",0.7407407407407407
545,"Delaware, New York",4.112244897959184
546,"Delaware, Ohio",0.0
547,"Delaware, Oklahoma",0.0
548,"Delaware, Pennsylvania",0.4
549,"Delta, Michigan",0.0
550,"Delta, Texas",15.0
551,"Denali, Alaska",0.0
552,"Dent, Missouri",0.0
553,"Denton, Texas",2.55
554,"Deschutes, Oregon",0.0
555,"Desha, Arkansas",0.0
556,"Desoto, Florida",0.35294117647058826
557,"Deuel, Nebraska",0.0
558,"Dewey, Oklahoma",0.0
559,"Dewitt, Texas",0.0
560,"Dickenson, Virginia",0.0
561,"Dickey, North Dakota",0.0
562,"Dickinson, Michigan",0.0
563,"Dickson, Tennessee",0.0
564,"Dillingham, Alaska",0.7692307692307693
565,"Dinwiddie, Virginia",0.0
566,"District of columbia, District of Columbia",2.4285714285714284
567,"Dixie, Florida",1.1916666666666667
568,"Dixon, Nebraska",0.0
569,"Doddridge, West Virginia",0.0
570,"Dodge, Minnesota",0.0
571,"Dodge, Nebraska",0.0
572,"Dodge, Wisconsin",4.6
573,"Dona ana, New Mexico",1.0778443113772456
574,"Douglas, Illinois",0.0
575,"Douglas, Kansas",0.0
576,"Douglas, Minnesota",0.0
577,"Douglas, Missouri",0.0
578,"Douglas, Nebraska",0.0
579,"Douglas, Nevada",0.7350427350427351
580,"Douglas, Oregon",0.0
581,"Douglas, Washington",0.0
582,"Douglas, Wisconsin",7.5
583,"Drew, Arkansas",0.0
584,"Du page, Illinois",0.0
585,"Dubois, Indiana",0.0
586,"Duchesne, Utah",0.0
587,"Dukes, Massachusetts",0.0
588,"Dundy, Nebraska",0.0
589,"Dunklin, Missouri",0.0
590,"Dunn, Wisconsin",0.0
591,"Dupage, Illinois",0.3482142857142857
592,"Duplin, North Carolina",1.362162162162162
593,"Durham, North Carolina",2.9885057471264367
594,"Dutchess, New York",0.18930957683741648
595,"Duval county, Florida",2.5
596,"Duval, Florida",0.5741935483870968
597,"Dyer, Tennessee",0.0
598,"East baton rouge parish, Louisiana",0.0
599,"East baton rouge, Louisiana",0.0
600,"East carroll, Louisiana",0.0
601,"East feliciana, Louisiana",0.0
602,"Eastland, Texas",0.0
603,"Eaton, Michigan",0.0
604,"Eau claire, Wisconsin",0.0
605,"Ector, Texas",0.0
606,"Eddy, New Mexico",0.3447368421052632
607,"Edgar, Illinois",0.48750000000000004
608,"Edgecombe, North Carolina",0.0
609,"Edmonson, Kentucky",0.0
610,"Edwards, Illinois",0.0
