,county,carbofuran
476,"Columbia, New York",0.0
477,"Columbia, Oregon",0.0
478,"Columbia, Pennsylvania",0.0
479,"Columbia, Wisconsin",0.03424657534246575
480,"Columbiana, Ohio",0.0
481,"Columbus county, North Carolina",0.0
482,"Columbus, North Carolina",0.0
483,"Colusa, California",0.0
484,"Comal, Texas",0.0
485,"Comanche, Oklahoma",0.0
486,"Comanche, Texas",0.0
487,"Concho, Texas",0.0
488,"Concordia, Louisiana",0.0
489,"Conecuh, Alabama",0.0
490,"Contra costa, California",0.0
491,"Converse, Wyoming",0.0
492,"Conway, Arkansas",0.0
493,"Cook, Illinois",0.0
494,"Cook, Minnesota",0.0
495,"Cooke, Texas",0.0
496,"Cooper, Missouri",0.0
497,"Coos, New Hampshire",0.0
498,"Coos, Oregon",0.0
499,"Coosa, Alabama",0.0
500,"Cortland, New York",0.0
501,"Coryell, Texas",0.0
502,"Coshocton, Ohio",0.0
503,"Cottle, Texas",0.0
504,"Cottonwood, Minnesota",0.0
505,"Covington, Alabama",0.0
506,"Covington, Virginia",0.0
507,"Cowley, Kansas",0.0
508,"Cowlitz, Washington",0.0
509,"Craighead, Arkansas",0.0
510,"Crane, Texas",0.0
511,"Craven, North Carolina",0.0
512,"Crawford county, Pennsylvania",0.0
513,"Crawford, Arkansas",0.0
514,"Crawford, Illinois",0.0
515,"Crawford, Indiana",0.0
516,"Crawford, Kansas",0.0
517,"Crawford, Michigan",0.0
518,"Crawford, Missouri",0.0
519,"Crawford, Pennsylvania",0.0
520,"Crawford, Wisconsin",0.0
521,"Creek, Oklahoma",0.0
522,"Crenshaw, Alabama",0.0
523,"Crittenden, Arkansas",0.0
524,"Crittenden, Kentucky",0.0
525,"Crockett, Texas",0.0
526,"Crook, Oregon",0.0
527,"Crook, Wyoming",0.0
528,"Crosby, Texas",0.0
529,"Cross, Arkansas",0.0
530,"Crow wing, Minnesota",0.0
531,"Culberson, Texas",0.0
532,"Cullman, Alabama",0.0
533,"Culpeper, Virginia",0.0
534,"Cumberland county, Pennsylvania",0.0
535,"Cumberland, Illinois",0.0
536,"Cumberland, Kentucky",0.0
537,"Cumberland, Maine",0.0
538,"Cumberland, New Jersey",0.0
539,"Cumberland, North Carolina",0.0
540,"Cumberland, Pennsylvania",0.0
541,"Cumberland, Virginia",0.0
542,"Cuming, Nebraska",0.0
543,"Currituck, North Carolina",0.0
544,"Curry, New Mexico",0.0
545,"Curry, Oregon",0.0
546,"Custer, Idaho",0.0
547,"Custer, Montana",0.0
548,"Custer, Nebraska",0.0
549,"Custer, Oklahoma",0.0
550,"Custer, South Dakota",0.0
551,"Cuyahoga, Ohio",0.0
552,"Dade, Florida",0.0
553,"Dade, Missouri",0.0
554,"Daggett, Utah",0.0
555,"Dakota, Minnesota",0.0
556,"Dakota, Nebraska",0.0
557,"Dale, Alabama",0.0
558,"Dallam, Texas",0.0
559,"Dallas, Alabama",0.0
560,"Dallas, Arkansas",0.0
561,"Dallas, Missouri",0.0
562,"Dallas, Texas",0.0
563,"Dane, Wisconsin",0.0
564,"Daniels, Montana",0.0
565,"Danville, Virginia",0.0
566,"Dare, North Carolina",0.0
567,"Darlington, South Carolina",0.0
568,"Dauphin county, Pennsylvania",0.0
569,"Dauphin, Pennsylvania",0.0
570,"Davidson, North Carolina",0.0
571,"Davie, North Carolina",0.0
572,"Daviess, Indiana",0.0
573,"Daviess, Kentucky",0.0
574,"Daviess, Missouri",0.0
575,"Davis, Utah",0.0
576,"Dawes, Nebraska",0.0
577,"Dawson, Montana",0.0
578,"Dawson, Nebraska",0.0
579,"Dawson, Texas",0.0
580,"Day, South Dakota",0.0
581,"De baca, New Mexico",0.0
582,"De kalb, Indiana",0.0
583,"De kalb, Missouri",0.0
584,"De soto, Florida",0.0
585,"De soto, Louisiana",0.0
586,"De witt, Illinois",0.0
587,"Deaf smith, Texas",0.0
588,"Dearborn, Indiana",0.0
589,"Decatur, Indiana",0.0
590,"Deer lodge, Montana",0.0
591,"Defiance, Ohio",0.0
592,"Dekalb, Alabama",0.0
593,"Dekalb, Illinois",0.0
594,"Dekalb, Indiana",0.0
595,"Dekalb, Missouri",0.0
596,"Delaware, Indiana",0.0
597,"Delaware, New York",0.0
598,"Delaware, Ohio",0.0
599,"Delaware, Pennsylvania",0.0
600,"Delta, Michigan",0.0
601,"Delta, Texas",0.0
602,"Dent, Missouri",0.0
603,"Denton, Texas",0.0
604,"Deschutes, Oregon",0.0
605,"Desha, Arkansas",0.0
606,"Desoto, Florida",0.0
607,"Deuel, Nebraska",0.0
608,"Dewey, Oklahoma",0.0
609,"Dewey, South Dakota",0.0
610,"Dewitt, Texas",0.0
611,"Dickey, North Dakota",0.0
612,"Dickinson, Kansas",0.0
613,"Dickinson, Michigan",0.0
614,"Dickson, Tennessee",0.0
615,"Dillon, South Carolina",0.0
616,"Dimmit, Texas",0.0
617,"Dinwiddie, Virginia",0.0
618,"District of columbia, District of Columbia",0.0
619,"Dixie, Florida",0.0
620,"Dixon, Nebraska",0.0
621,"Doddridge, West Virginia",0.0
622,"Dodge, Minnesota",0.0
623,"Dodge, Nebraska",0.0
624,"Dodge, Wisconsin",0.0
625,"Dona ana, New Mexico",0.08775981524249422
626,"Donley, Texas",0.0
627,"Door, Wisconsin",0.0
628,"Dorchester, Maryland",0.0
629,"Dorchester, South Carolina",0.0
630,"Douglas, Illinois",0.0
631,"Douglas, Kansas",0.0
632,"Douglas, Minnesota",0.0
633,"Douglas, Missouri",0.0
634,"Douglas, Nebraska",0.0
635,"Douglas, Nevada",0.0
636,"Douglas, Oregon",0.0
637,"Douglas, Washington",0.0
638,"Douglas, Wisconsin",0.0
639,"Drew, Arkansas",0.0
640,"Du page, Illinois",0.0
641,"Dubois, Indiana",0.0
642,"Duchesne, Utah",0.0
643,"Dukes, Massachusetts",0.0
644,"Dundy, Nebraska",0.0
645,"Dunklin, Missouri",0.0
646,"Dunn, Wisconsin",0.0
647,"Dupage, Illinois",0.0
648,"Duplin, North Carolina",0.0
649,"Durham, North Carolina",0.0
650,"Dutchess, New York",0.0
651,"Duval county, Florida",0.0
652,"Duval, Florida",0.0
653,"Duval, Texas",0.0
654,"East baton rouge parish, Louisiana",0.0
655,"East baton rouge, Louisiana",0.0
656,"East carroll, Louisiana",0.0
657,"East feliciana, Louisiana",0.0
658,"Eastland, Texas",0.0
659,"Eaton, Michigan",0.0
660,"Eau claire, Wisconsin",0.0
661,"Ector, Texas",0.0
662,"Eddy, New Mexico",0.0
663,"Edgar, Illinois",0.0
664,"Edgecombe, North Carolina",0.0
665,"Edmonson, Kentucky",0.0
666,"Edwards, Illinois",0.0
667,"Effingham, Illinois",0.0
668,"El dorado, California",0.0
