,county,di(2-ethylhexyl)_phthalate
427,"Clinton, Illinois",0.017142857142857144
428,"Clinton, Indiana",0.13785714285714284
429,"Clinton, Iowa",0.11864406779661019
430,"Clinton, Kentucky",0.04782608695652174
431,"Clinton, New York",0.00814814814814815
432,"Clinton, Pennsylvania",0.1142857142857143
433,"Cochise, Arizona",0.05756598240469208
434,"Cochran, Texas",0.0
435,"Coconino, Arizona",0.026693548387096776
436,"Codington, South Dakota",0.0
437,"Coffee, Alabama",0.0373015873015873
438,"Coke, Texas",0.0
439,"Colbert, Alabama",0.0
440,"Cole, Missouri",0.0
441,"Coleman, Texas",0.0
442,"Coles, Illinois",0.03214285714285715
443,"Colfax, Nebraska",0.0
444,"Colfax, New Mexico",0.0
445,"Colleton, South Carolina",0.7467391304347827
446,"Collier, Florida",0.03990384615384616
447,"Collin, Texas",0.10634146341463416
448,"Collingsworth, Texas",0.0
449,"Colorado, Texas",0.0
450,"Columbia, Arkansas",0.4430208333333334
451,"Columbia, Florida",0.0
452,"Columbia, New York",0.0
453,"Columbia, Oregon",0.0
454,"Columbia, Pennsylvania",0.0
455,"Columbia, Washington",0.0
456,"Columbia, Wisconsin",0.8851515151515151
457,"Columbiana, Ohio",0.0
458,"Columbus county, North Carolina",0.0
459,"Columbus, North Carolina",0.0
460,"Colusa, California",0.0
461,"Comal, Texas",0.03890625
462,"Comanche, Texas",0.0
463,"Concho, Texas",0.0
464,"Concordia, Louisiana",0.8844444444444444
465,"Conecuh, Alabama",0.005168421052631579
466,"Contra costa, California",0.0
467,"Converse, Wyoming",0.0
468,"Conway, Arkansas",0.0
469,"Cook, Illinois",0.06046052631578946
470,"Cook, Minnesota",0.0
471,"Cooke, Texas",0.03431034482758621
472,"Coos, New Hampshire",0.4854368932038835
473,"Coos, Oregon",0.0685
474,"Coosa, Alabama",0.0
475,"Corson, South Dakota",0.0
476,"Cortland, New York",0.0
477,"Coryell, Texas",0.055
478,"Coshocton, Ohio",0.0
479,"Cottle, Texas",0.0
480,"Cottonwood, Minnesota",0.0
481,"Covington, Alabama",0.014056603773584905
482,"Covington, Virginia",0.0
483,"Cowlitz, Washington",0.0
484,"Craighead, Arkansas",0.0
