,county,E_coli
68,"Ascension, Louisiana",0.0
69,"Ashe, North Carolina",0.0
70,"Ashland, Ohio",0.0
71,"Ashley, Arkansas",0.0
72,"Ashtabula, Ohio",0.0
73,"Asotin, Washington",0.0
74,"Assumption, Louisiana",0.0
75,"Atascosa, Texas",0.0
76,"Atchison, Kansas",0.0
77,"Athens, Ohio",0.0
78,"Atlantic, New Jersey",0.0
79,"Atoka, Oklahoma",0.0
80,"Audrain, Missouri",0.0
81,"Audubon, Iowa",0.0
82,"Auglaize, Ohio",0.0
83,"Augusta, Virginia",0.0
84,"Austin, Texas",0.0
85,"Autauga, Alabama",0.0
86,"Avery, North Carolina",0.0
87,"Avoyelles, Louisiana",0.0
88,"B, Oklahoma",0.0
89,"Bailey, Texas",0.0
90,"Baker, Oregon",0.0
91,"Baldwin, Alabama",0.0
92,"Ballard, Kentucky",0.0
93,"Bamberg, South Carolina",0.0
94,"Bandera, Texas",0.0
95,"Banner, Nebraska",0.0
96,"Bannock, Idaho",0.0
97,"Baraga, Michigan",0.0
98,"Barber, Kansas",0.0
99,"Barbour, Alabama",0.0
100,"Barbour, West Virginia",0.0
101,"Barnes, North Dakota",0.0
102,"Barren, Kentucky",0.0
103,"Barry, Missouri",0.0
104,"Bartholomew, Indiana",0.0
105,"Barton, Kansas",0.0
106,"Barton, Missouri",0.0
107,"Bastrop, Texas",0.0
108,"Bates, Missouri",0.0
109,"Bath, Kentucky",0.0
110,"Bath, Virginia",0.0
111,"Baxter, Arkansas",0.0
112,"Bayfield, Wisconsin",0.0
113,"Baylor, Texas",0.0
114,"Bear lake, Idaho",0.0
115,"Beaufort, North Carolina",0.0
116,"Beaufort, South Carolina",0.0
117,"Beauregard, Louisiana",0.0
118,"Beaver, Oklahoma",0.0
119,"Beaver, Pennsylvania",0.0
120,"Beaver, Utah",0.0
121,"Beaverhead, Montana",0.0
122,"Beckham, Oklahoma",0.0
123,"Bedford, Pennsylvania",0.0
124,"Bedford, Virginia",0.0
125,"Bee, Texas",0.0
126,"Bell, Kentucky",0.0
127,"Bell, Texas",0.0
128,"Belmont, Ohio",0.0
129,"Beltrami, Minnesota",0.0
130,"Benewah, Idaho",0.0
131,"Bennett, South Dakota",0.0
132,"Bennington, Vermont",0.0
133,"Benson, North Dakota",0.0
134,"Benton county, Arkansas",0.0
135,"Benton, Arkansas",0.0
136,"Benton, Indiana",0.0
137,"Benton, Iowa",0.0
138,"Benton, Missouri",0.0
139,"Benton, Oregon",0.0
140,"Benton, Washington",0.0
141,"Bergen, New Jersey",0.0
142,"Berkeley, South Carolina",0.0
143,"Berkeley, West Virginia",0.0
144,"Berks county, Pennsylvania",0.0
145,"Berks, Pennsylvania",0.0
146,"Bernalillo, New Mexico",0.0
147,"Bertie, North Carolina",0.0
148,"Bethel census area, Alaska",0.0
149,"Bethel, Alaska",0.0
150,"Bexar, Texas",0.0
151,"Bibb, Alabama",0.0
152,"Bienville, Louisiana",0.0
153,"Big horn, Montana",0.0
154,"Big horn, Wyoming",0.0
155,"Billings, North Dakota",0.0
156,"Bingham, Idaho",0.0
157,"Black hawk, Iowa",0.0
158,"Blackford, Indiana",0.0
159,"Bladen, North Carolina",0.0
160,"Blaine, Idaho",0.0
161,"Blaine, Montana",0.0
162,"Blaine, Nebraska",0.0
163,"Blaine, Oklahoma",0.0
164,"Blair county, Pennsylvania",0.0
165,"Blair, Pennsylvania",0.0
166,"Blanco, Texas",0.0
