,county,fluoride
78,"Ashland, Wisconsin",457.57097791798105
79,"Ashley, Arkansas",586.6666666666666
80,"Ashtabula, Ohio",225.0
81,"Asotin, Washington",666.4285714285714
82,"Assumption, Louisiana",306.6666666666667
83,"Atascosa county, Texas",404.0
84,"Atascosa, Texas",458.2352941176471
85,"Atchison, Kansas",290.0
86,"Atchison, Missouri",160.0
87,"Athens, Ohio",97.5
88,"Atlantic, New Jersey",66.36
89,"Atoka, Oklahoma",10.0
90,"Audrain, Missouri",1028.9583333333333
91,"Auglaize, Ohio",1341.7583333333334
92,"Augusta, Virginia",334.7169811320755
93,"Austin, Texas",219.23076923076923
94,"Autauga, Alabama",168.3783783783784
95,"Avery, North Carolina",82.54237288135593
96,"Avoyelles, Louisiana",759.4827586206897
97,"B, Oklahoma",168.33333333333334
98,"Bailey, Texas",945.0
99,"Baker county, Florida",826.6666666666666
100,"Baker, Florida",386.85714285714283
101,"Baker, Oregon",98.88888888888889
102,"Baldwin, Alabama",411.4
103,"Ballard, Kentucky",81.42857142857143
104,"Baltimore, Maryland",0.0
105,"Bamberg, South Carolina",172.91666666666666
106,"Bandera, Texas",2300.5839416058393
107,"Banner, Nebraska",530.0
108,"Bannock, Idaho",747.6
109,"Baraga, Michigan",114.25
110,"Barber, Kansas",343.52941176470586
111,"Barbour, Alabama",436.2962962962963
112,"Barnes, North Dakota",945.0
113,"Barnstable, Massachusetts",16.619718309859156
114,"Barnwell, South Carolina",76.3157894736842
115,"Barron, Wisconsin",382.9680365296804
116,"Barry, Michigan",209.3913043478261
117,"Barry, Missouri",111.35416666666667
118,"Bartholomew, Indiana",555.0
119,"Barton, Kansas",528.90625
120,"Barton, Missouri",383.75
121,"Bastrop, Texas",534.0425531914893
122,"Bates, Missouri",103.75
123,"Bath, Virginia",53.7037037037037
124,"Baxter, Arkansas",236.4814814814815
125,"Bay, Florida",636.1702127659574
126,"Bayfield, Wisconsin",239.20634920634922
127,"Baylor, Texas",647.5
128,"Beadle, South Dakota",435.0
129,"Bear lake, Idaho",94.0
130,"Beaufort, North Carolina",1782.3076923076924
131,"Beaufort, South Carolina",462.14285714285717
132,"Beauregard, Louisiana",312.5
133,"Beaver, Oklahoma",1318.888888888889
134,"Beaver, Pennsylvania",219.56521739130434
135,"Beaver, Utah",590.9090909090909
136,"Beaverhead, Montana",496.8421052631579
137,"Becker, Minnesota",93.6842105263158
138,"Beckham, Oklahoma",357.77777777777777
139,"Bedford county, Pennsylvania",0.0
140,"Bedford, Pennsylvania",64.0
141,"Bedford, Tennessee",690.0
142,"Bedford, Virginia",171.8987341772152
143,"Bee, Texas",972.7272727272727
144,"Belknap, New Hampshire",494.80916030534354
145,"Bell, Kentucky",251.0
146,"Bell, Texas",536.3380281690141
147,"Belmont, Ohio",212.85714285714286
148,"Beltrami county, Minnesota",73.33333333333333
149,"Beltrami, Minnesota",27.8125
150,"Benewah, Idaho",174.16666666666666
151,"Bennett, South Dakota",392.5
152,"Bennington, Vermont",8.695652173913043
153,"Benson, North Dakota",755.0
154,"Benton county, Arkansas",606.6666666666666
155,"Benton, Arkansas",1763.7288135593221
156,"Benton, Indiana",695.0
157,"Benton, Iowa",571.1111111111111
158,"Benton, Minnesota",1154.6296296296296
159,"Benton, Missouri",393.2926829268293
160,"Benton, Oregon",128.33333333333334
161,"Benton, Tennessee",0.0
162,"Benton, Washington",2000.702479338843
163,"Benzie, Michigan",126.25
164,"Bergen, New Jersey",10.0
165,"Berkeley, South Carolina",1210.8641975308642
166,"Berkeley, West Virginia",304.24242424242425
167,"Berks county, Pennsylvania",0.0
168,"Berks, Pennsylvania",31.0828025477707
169,"Berkshire, Massachusetts",82.64150943396227
170,"Bernalillo, New Mexico",2164.63687150838
171,"Berrien, Michigan",189.44444444444446
172,"Bertie, North Carolina",1357.4468085106382
173,"Bethel census area, Alaska",0.0
174,"Bethel, Alaska",72.85714285714286
175,"Bexar, Texas",782.4367088607595
176,"Bibb, Alabama",148.46153846153845
177,"Bienville, Louisiana",147.4468085106383
178,"Big horn, Montana",1328.9655172413793
179,"Big horn, Wyoming",575.8823529411765
180,"Big stone, Minnesota",1229.1603053435115
181,"Billings, North Dakota",1420.0
182,"Bingham, Idaho",294.7916666666667
183,"Black hawk, Iowa",814.6753246753246
184,"Blackford, Indiana",1420.0
185,"Bladen, North Carolina",181.14754098360655
186,"Blaine, Idaho",357.39130434782606
187,"Blaine, Montana",366.0
188,"Blaine, Nebraska",305.0
189,"Blaine, Oklahoma",155.0
190,"Blair, Pennsylvania",0.0
191,"Blanco, Texas",596.6666666666666
192,"Bland, Virginia",0.0
193,"Bledsoe, Tennessee",280.0
194,"Blount, Alabama",132.5
195,"Blount, Tennessee",445.0
196,"Blue earth, Minnesota",1224.8101265822784
197,"Boise, Idaho",2465.6962025316457
198,"Bollinger, Missouri",23.529411764705884
199,"Bon homme, South Dakota",400.0
200,"Bonner, Idaho",118.05970149253731
201,"Bonneville, Idaho",116.5079365079365
202,"Boone, Arkansas",138.75
203,"Boone, Illinois",2034.4444444444443
204,"Boone, Indiana",1031.0
205,"Boone, Kentucky",139.03225806451613
206,"Boone, Missouri",999.5945945945946
207,"Boone, Nebraska",959.1666666666666
208,"Boone, West Virginia",187.64705882352942
209,"Bosque, Texas",516.5116279069767
210,"Bossier, Louisiana",515.9615384615385
211,"Botetourt, Virginia",364.251968503937
212,"Bottineau, North Dakota",514.2857142857143
213,"Boundary, Idaho",85.92592592592592
214,"Bourbon, Kansas",0.0
215,"Bowie, Texas",2344.8387096774195
216,"Bowman, North Dakota",1755.0
217,"Box butte, Nebraska",695.2631578947369
218,"Box elder, Utah",169.08045977011494
219,"Boyd, Kentucky",619.0
220,"Boyd, Nebraska",262.85714285714283
221,"Bradford, Florida",270.0
222,"Bradford, Pennsylvania",132.6530612244898
223,"Bradley, Arkansas",242.72727272727272
224,"Branch, Michigan",86.97674418604652
225,"Brazoria, Texas",762.6767676767677
226,"Brazos, Texas",578.2352941176471
227,"Breathitt, Kentucky",436.6666666666667
228,"Bremer, Iowa",325.0
229,"Brevard, Florida",244.42105263157896
230,"Brewster, Texas",1878.076923076923
231,"Briscoe, Texas",2333.3333333333335
232,"Bristol bay, Alaska",160.0
233,"Bristol, Massachusetts",118.70370370370371
234,"Bristol, Rhode Island",6.111111111111111
235,"Broadwater, Montana",1074.0
236,"Brooke, West Virginia",322.0
237,"Brookings, South Dakota",620.0
238,"Brooks, Texas",537.6923076923077
239,"Broome, New York",129.6195652173913
240,"Broward county, Florida",460.0
241,"Broward, Florida",428.3941605839416
242,"Brown, Kansas",351.25
243,"Brown, Minnesota",1099.3103448275863
244,"Brown, Nebraska",290.0
245,"Brown, Ohio",585.0
246,"Brown, South Dakota",1727.5
247,"Brown, Texas",373.9130434782609
248,"Brown, Wisconsin",623.5410764872521
249,"Brunswick, North Carolina",197.5
250,"Brunswick, Virginia",635.5
251,"Bryan, Oklahoma",98.0952380952381
252,"Buchanan, Iowa",432.0
253,"Buchanan, Virginia",401.1111111111111
254,"Buckingham, Virginia",0.0
255,"Bucks county, Pennsylvania",0.0
256,"Bucks, Pennsylvania",72.20588235294117
257,"Buena vista, Iowa",700.0
258,"Buena vista, Virginia",60.0
259,"Buffalo, Nebraska",327.6923076923077
260,"Buffalo, Wisconsin",573.3753943217665
261,"Bullock, Alabama",152.85714285714286
262,"Buncombe, North Carolina",158.8785046728972
263,"Bureau, Illinois",987.3913043478261
264,"Burke, North Carolina",270.625
265,"Burke, North Dakota",732.0
