,county,alkalinity
371,"Crenshaw, Alabama",215657.8947368421
372,"Crittenden, Kentucky",40776.31578947369
373,"Crockett, Texas",240000.0
374,"Crosby, Texas",266058.82352941175
375,"Crow wing, Minnesota",218571.42857142858
376,"Culberson, Texas",204000.0
377,"Cullman, Alabama",27744.607843137255
378,"Culpeper, Virginia",64062.11180124224
379,"Cumberland, Illinois",118671.05263157895
380,"Cumberland, Kentucky",57668.91891891892
381,"Cumberland, Maine",58677.815699658706
382,"Cumberland, New Jersey",49634.303797468354
383,"Cumberland, North Carolina",21649.109090909093
384,"Cumberland, Pennsylvania",144188.97435897434
385,"Cumberland, Virginia",48393.181818181816
386,"Curry, New Mexico",175000.0
387,"Curry, Oregon",35583.333333333336
388,"Custer, Montana",141750.0
389,"Custer, Oklahoma",172684.9315068493
390,"Cuyahoga, Ohio",125000.0
391,"Dade, Missouri",138285.7142857143
392,"Daggett, Utah",162067.7966101695
393,"Dale, Alabama",144808.53333333333
394,"Dallam, Texas",191625.0
395,"Dallas, Alabama",81846.875
396,"Dallas, Iowa",318052.63157894736
397,"Dallas, Missouri",379750.0
398,"Dallas, Texas",208000.0
399,"Daniels, Montana",286500.0
400,"Danville, Virginia",26447.4358974359
401,"Dare, North Carolina",114937.5
402,"Dauphin county, Pennsylvania",23385.714285714286
403,"Dauphin, Pennsylvania",38490.434782608696
404,"Davidson, North Carolina",32229.508196721312
405,"Davie, North Carolina",18717.33644859813
406,"Daviess, Kentucky",76636.36363636363
407,"Daviess, Missouri",112168.14814814815
408,"Davis, Iowa",89458.33333333333
409,"Davis, Utah",157200.0
410,"Dawes, Nebraska",223371.42857142858
411,"Dawson, Montana",144276.19047619047
412,"Dawson, Texas",257125.0
413,"De soto, Louisiana",234104.16666666666
414,"De witt, Illinois",433333.3333333333
415,"Deaf smith, Texas",337166.6666666667
416,"Decatur, Indiana",157440.2985074627
417,"Decatur, Kansas",303000.0
418,"Dekalb, Alabama",104676.94524495678
419,"Dekalb, Illinois",322714.28571428574
420,"Dekalb, Missouri",103315.06849315068
421,"Del norte county, California",77000.0
422,"Delaware, Indiana",253000.0
423,"Delaware, Iowa",269166.6666666667
424,"Delaware, Oklahoma",99040.56795131846
425,"Delaware, Pennsylvania",45097.22222222222
426,"Delta, Texas",257181.81818181818
427,"Denali, Alaska",127500.0
428,"Dent, Missouri",207666.66666666666
429,"Denton, Texas",318401.2738853503
430,"Des moines, Iowa",203309.85915492958
431,"Dewitt, Texas",281923.07692307694
432,"Dickens, Texas",287500.0
433,"Dickenson, Virginia",76613.51351351352
434,"Dickey, North Dakota",270738.8888888889
435,"Dickinson, Iowa",193275.8620689655
436,"Dickinson, Kansas",203184.0
437,"Dillingham, Alaska",170380.0
438,"Dimmit, Texas",211166.66666666666
439,"Dinwiddie, Virginia",77279.06976744186
440,"Divide, North Dakota",1025000.0
441,"Doddridge, West Virginia",55430.555555555555
442,"Dona ana, New Mexico",152000.0
443,"Doniphan, Kansas",220904.7619047619
444,"Donley, Texas",188500.0
445,"Dorchester, South Carolina",237500.0
446,"Douglas, Illinois",286193.4210526316
447,"Douglas, Kansas",138677.6758409786
448,"Douglas, Missouri",231666.66666666666
449,"Douglas, Nebraska",189769.23076923078
450,"Douglas, Nevada",92933.33333333333
451,"Douglas, Oregon",46796.16279069767
452,"Dubois, Indiana",57541.98473282443
453,"Dubuque, Iowa",246571.42857142858
454,"Duchesne, Utah",230647.0588235294
455,"Dunklin, Missouri",277195.2380952381
456,"Dunn, North Dakota",457000.0
457,"Dupage, Illinois",324064.81481481483
458,"Duplin, North Carolina",53187.5
459,"Durham, North Carolina",23464.12022817025
460,"Dutchess, New York",121852.22222222222
461,"Duval, Texas",260181.81818181818
462,"East baton rouge parish, Louisiana",131680.0
463,"East baton rouge, Louisiana",152642.01680672268
464,"East carroll, Louisiana",365316.6666666667
465,"East feliciana, Louisiana",129277.27272727272
466,"Eastland, Texas",179437.5
467,"Ector, Texas",190717.39130434784
468,"Eddy, North Dakota",388500.0
469,"Edgar, Illinois",282979.797979798
470,"Edgecombe, North Carolina",27791.666666666668
471,"Edmonson, Kentucky",126605.78740157481
472,"Edwards, Illinois",1400000.0
473,"Edwards, Kansas",189363.63636363635
474,"Edwards, Texas",188600.0
475,"Effingham, Illinois",86321.68831168831
476,"El paso, Texas",115179.48717948717
477,"Elk, Kansas",165511.9298245614
478,"Elk, Pennsylvania",9247.590361445784
479,"Elko, Nevada",108125.0
480,"Ellis, Kansas",271237.5
481,"Ellis, Texas",357940.0
482,"Ellsworth, Kansas",217250.58139534883
483,"Elmore, Alabama",31234.85893416928
484,"Elmore, Idaho",218839.2857142857
485,"Emery, Utah",210936.0248447205
486,"Emmons, North Dakota",720071.4285714285
487,"Erath, Texas",289341.46341463417
488,"Erie, New York",77800.0
489,"Erie, Pennsylvania",86699.28825622775
490,"Escambia, Alabama",74019.60784313726
491,"Esmeralda, Nevada",137000.0
492,"Essex county, New York",53000.0
493,"Essex, New Jersey",110331.63265306123
494,"Essex, New York",9548.57142857143
495,"Essex, Vermont",87111.11111111111
496,"Essex, Virginia",220230.76923076922
497,"Estill, Kentucky",87480.0
498,"Etowah, Alabama",68670.99236641222
499,"Eureka, Nevada",321000.0
500,"Evangeline parish, Louisiana",251275.0
501,"Evangeline, Louisiana",269600.0
502,"Fairbanks north star, Alaska",176715.38461538462
503,"Fairfax, Virginia",67752.79106858054
504,"Fairfield, Connecticut",42858.655256723716
505,"Fairfield, Ohio",270750.0
506,"Fairfield, South Carolina",28459.183673469386
507,"Falls, Texas",301181.8181818182
508,"Fannin, Texas",362391.8918918919
509,"Faribault, Minnesota",320000.0
510,"Fauquier, Virginia",95589.30232558139
511,"Fayette, Alabama",11589.054726368158
512,"Fayette, Illinois",106986.48648648648
513,"Fayette, Kentucky",79673.59413202934
514,"Fayette, Pennsylvania",24418.867924528302
515,"Fayette, Texas",304434.7826086957
516,"Fayette, West Virginia",57026.37362637363
517,"Fergus, Montana",195111.11111111112
518,"Finney, Kansas",151263.23529411765
519,"Fisher, Texas",213000.0
520,"Flathead, Montana",224780.48780487804
521,"Fleming, Kentucky",103644.73684210527
522,"Florence, South Carolina",27643.875
523,"Floyd, Iowa",320000.0
524,"Floyd, Kentucky",147254.86725663717
525,"Floyd, Texas",286222.22222222225
526,"Floyd, Virginia",65591.66666666667
527,"Fluvanna, Virginia",42052.7570093458
528,"Foard, Texas",216000.0
529,"Ford, Illinois",264997.64705882355
530,"Ford, Kansas",202476.19047619047
531,"Forsyth, North Carolina",14971.343467543138
532,"Fort bend county, Texas",206500.0
533,"Fort bend, Texas",219930.4556354916
534,"Foster, North Dakota",36000.0
535,"Franklin county, New York",7500.0
536,"Franklin, Alabama",49691.1231884058
537,"Franklin, Illinois",63215.0
538,"Franklin, Iowa",315000.0
539,"Franklin, Kansas",152025.92592592593
540,"Franklin, Kentucky",97581.08108108108
541,"Franklin, Louisiana",116414.28571428571
542,"Franklin, Maine",43123.59550561798
543,"Franklin, Missouri",195000.0
544,"Franklin, New York",40666.666666666664
545,"Franklin, North Carolina",33146.31901840491
546,"Franklin, Ohio",339900.0
547,"Franklin, Pennsylvania",50047.23247232472
548,"Franklin, Texas",37357.142857142855
549,"Franklin, Vermont",57691.836734693876
550,"Franklin, Virginia",71623.77118644067
551,"Frederick, Virginia",232039.251497006
552,"Freestone, Texas",205071.42857142858
553,"Fremont, Iowa",267428.5714285714
554,"Fremont, Wyoming",50750.0
555,"Fresno, California",200000.0
556,"Frio, Texas",235470.58823529413
557,"Fulton, Illinois",210886.5671641791
558,"Fulton, Indiana",305000.0
559,"Fulton, Kentucky",56428.57142857143
560,"Gaines, Texas",228866.66666666666
561,"Galax, Virginia",18176.666666666668
562,"Gallatin, Illinois",320272.7272727273
563,"Gallatin, Kentucky",310666.6666666667
564,"Gallatin, Montana",233489.5104895105
565,"Galveston, Texas",342652.17391304346
566,"Garfield, Oklahoma",227500.0
567,"Garrard, Kentucky",91945.20547945205
568,"Garvin, Oklahoma",143468.48297213623
569,"Garza, Texas",312000.0
570,"Gasconade, Missouri",268529.4117647059
571,"Gaston, North Carolina",41019.09448818897
572,"Geary, Kansas",198591.48936170212
573,"Geauga, Ohio",108161.29032258065
574,"Geneva, Alabama",135302.63157894736
575,"Gentry, Missouri",117182.43243243243
576,"Georgetown, South Carolina",31620.13888888889
577,"Gibson, Indiana",122536.58536585367
578,"Gila, Arizona",242800.0
579,"Giles, Virginia",112181.57894736843
580,"Gillespie, Texas",351803.2786885246
581,"Gilmer, West Virginia",34681.944444444445
582,"Glacier, Montana",185600.0
583,"Glasscock, Texas",132000.0
584,"Gloucester, New Jersey",99557.96380090498
585,"Gloucester, Virginia",77583.908045977
586,"Golden valley, Montana",248250.0
587,"Golden valley, North Dakota",617000.0
588,"Goliad, Texas",273500.0
589,"Gonzales, Texas",190366.66666666666
590,"Goochland, Virginia",67216.66666666667
591,"Gove, Kansas",207210.52631578947
592,"Grady, Oklahoma",126539.6551724138
593,"Graham, Kansas",231866.66666666666
594,"Graham, North Carolina",5881.428571428572
595,"Grand forks, North Dakota",213328.94736842104
596,"Granite, Montana",52429.62962962963
597,"Grant, Kansas",171461.53846153847
