,county,alpha_particles
378,"Crook, Wyoming",4.289999999999999
379,"Crow wing, Minnesota",0.1625
380,"Cullman, Alabama",0.0
381,"Culpeper, Virginia",3.9015942028985497
382,"Cumberland, Kentucky",0.0
383,"Cumberland, Maine",6.496733333333332
384,"Cumberland, New Jersey",9.439832229166674
385,"Cumberland, North Carolina",6.409087837837844
386,"Cumberland, Virginia",1.11
387,"Cuming, Nebraska",3.3200000000000003
388,"Currituck, North Carolina",0.4584615384615385
389,"Curry, New Mexico",2.003345833333334
390,"Curry, Oregon",0.5
391,"Custer, Montana",0.0
392,"Custer, Nebraska",1.0333333333333334
393,"Custer, Oklahoma",2.8724399999999997
394,"Custer, South Dakota",9.012500000000001
395,"Cuyahoga, Ohio",0.0
396,"Dade, Florida",1.9300000000000006
397,"Daggett, Utah",2.9637499999999997
398,"Dakota, Minnesota",7.6761194029850754
399,"Dale, Alabama",0.39683333333333337
400,"Dallas, Alabama",1.4785714285714282
401,"Dallas, Missouri",4.0
402,"Dane, Wisconsin",3.226464648484849
403,"Daniels, Montana",5.5
404,"Dare, North Carolina",0.0004966666666666666
405,"Darlington, South Carolina",2.0
406,"Davidson, North Carolina",0.0
407,"Davidson, Tennessee",0.32625
408,"Davie, North Carolina",0.0
409,"Daviess, Kentucky",1.786
410,"Davis, Utah",4.315725190839694
411,"Dawson, Montana",3.75
412,"Dawson, Nebraska",3.875
413,"Dawson, Texas",9.666666666666666
414,"De baca, New Mexico",16.0
415,"De kalb, Indiana",0.0
416,"De soto, Florida",1.8882352941176472
417,"De soto, Louisiana",0.04081632653061224
418,"Deaf smith, Texas",5.266666666666667
419,"Dearborn, Indiana",2.7
420,"Decatur, Kansas",8.70731707317073
421,"Decatur, Tennessee",0.0
422,"Deer lodge, Montana",6.325
423,"Dekalb, Alabama",0.0
424,"Dekalb, Illinois",7.112749999999999
425,"Del norte county, California",0.0
426,"Delaware, Indiana",0.0
427,"Delaware, Iowa",0.516
428,"Delaware, New York",0.99
429,"Delaware, Ohio",0.0
430,"Delaware, Oklahoma",5.166851851851853
431,"Delta, Michigan",14.300000000000002
432,"Deschutes, Oregon",1.17043661971831
433,"Desoto, Florida",5.375
434,"Deuel, Nebraska",4.4399999999999995
435,"Dewey, Oklahoma",1.0429148148148149
436,"Dewey, South Dakota",1.25
437,"Dewitt, Texas",18.0
438,"Dickens, Texas",10.2
439,"Dickey, North Dakota",0.9600000000000002
440,"Dickinson, Michigan",10.2
441,"Dickson, Tennessee",1.3599999999999999
442,"Dillingham, Alaska",0.0
443,"Dillon, South Carolina",0.5923076923076922
444,"District of columbia, District of Columbia",0.0
445,"Divide, North Dakota",5.9
446,"Dixie, Florida",0.6
447,"Dixon, Nebraska",10.928571428571429
448,"Doddridge, West Virginia",0.0
449,"Dodge, Minnesota",11.653125000000003
450,"Dodge, Nebraska",3.5285714285714285
451,"Dodge, Wisconsin",7.889666665
452,"Dona ana, New Mexico",3.1657337199668865
453,"Door, Wisconsin",2.9227272727272724
454,"Dorchester, Maryland",1.1761904761904762
455,"Dorchester, South Carolina",1.8484848484848486
456,"Douglas, Kansas",0.95
457,"Douglas, Minnesota",0.7263157894736841
458,"Douglas, Nebraska",5.126666666666667
459,"Douglas, Nevada",0.8073967241379311
460,"Douglas, Oregon",0.6896551724137931
461,"Douglas, Wisconsin",1.1
462,"Dubois, Indiana",0.0
463,"Dubuque, Iowa",10.4
464,"Duchesne, Utah",2.208846153846154
465,"Dunn, North Dakota",1.0733333333333333
466,"Dunn, Wisconsin",2.3069999999999995
467,"Dupage, Illinois",9.922142857142855
468,"Duplin, North Carolina",0.06166666666666667
469,"Durham, North Carolina",1.6076404494382024
470,"Dutchess, New York",3.5318427672955974
471,"Duval, Florida",0.42688311688311686
472,"Dyer, Tennessee",1.5820000000000003
473,"East baton rouge parish, Louisiana",0.0
474,"East baton rouge, Louisiana",0.08035714285714286
475,"East carroll, Louisiana",0.0
476,"East feliciana, Louisiana",0.0
477,"Eaton, Michigan",4.127999999999999
478,"Eau claire, Wisconsin",2.08
479,"Ector, Texas",3.7695652173913046
480,"Eddy, New Mexico",0.9087083333333332
481,"Eddy, North Dakota",1.29
482,"Edgecombe, North Carolina",0.0
483,"Edgefield, South Carolina",1.7600000000000002
484,"Edmonson, Kentucky",0.0
485,"Effingham, Illinois",1.2
486,"Elkhart, Indiana",0.975
487,"Elko, Nevada",2.903298850574713
488,"Elliott, Kentucky",4.18
489,"Ellis, Oklahoma",3.0853055555555557
490,"Ellsworth, Kansas",16.0
491,"Elmore, Alabama",0.8249999999999998
492,"Elmore, Idaho",1.3800000000000001
493,"Emery, Utah",1.9683333333333335
494,"Emmet, Michigan",0.5284
495,"Emmons, North Dakota",0.49666666666666665
496,"Erath, Texas",16.549999999999997
497,"Erie, New York",1.1099999999999999
498,"Erie, Pennsylvania",0.0
499,"Escambia, Alabama",0.8799999999999999
500,"Escambia, Florida",1.6453488372093032
501,"Esmeralda, Nevada",0.0
502,"Essex, New Jersey",1.799615384615385
503,"Essex, New York",0.0
504,"Essex, Vermont",0.5664285714285714
505,"Essex, Virginia",1.2815384615384615
506,"Estill, Kentucky",0.075
507,"Etowah, Alabama",0.9083333333333335
508,"Eureka, Nevada",0.938888888888889
509,"Evangeline parish, Louisiana",1.7166666666666668
510,"Evangeline, Louisiana",0.0
511,"Fairbanks north star, Alaska",1.327912195121951
512,"Fairfax, Virginia",0.06659999999999999
513,"Fairfield, Connecticut",4.192647527910683
514,"Fairfield, Ohio",0.0
515,"Fairfield, South Carolina",4.753333333333332
516,"Fall river, South Dakota",7.7666666666666675
517,"Fallon, Montana",4.1000000000000005
518,"Faribault, Minnesota",7.872413793103449
519,"Faulk, South Dakota",1.5
520,"Fauquier, Virginia",12.76
521,"Fayette, Alabama",0.625
522,"Fayette, Indiana",2.9
523,"Fayette, Iowa",6.904999999999999
524,"Fayette, Kentucky",0.9121428571428571
525,"Fayette, Tennessee",1.202888888888889
526,"Fayette, Texas",14.0
527,"Fayette, West Virginia",0.99925
528,"Fergus, Montana",5.3
529,"Fillmore, Minnesota",4.198333333333333
530,"Fillmore, Nebraska",0.875
531,"Finney, Kansas",8.885308641975309
532,"Flagler, Florida",0.5475609756097561
533,"Flathead, Montana",7.954000000000001
534,"Fleming, Kentucky",0.25
535,"Florence, South Carolina",2.8666666666666667
536,"Florence, Wisconsin",0.0
537,"Floyd, Iowa",0.7533333333333333
538,"Floyd, Kentucky",0.85
539,"Floyd, Texas",7.0
540,"Fluvanna, Virginia",1.8511111111111107
541,"Fond du lac, Wisconsin",1.6744329482758622
542,"Ford, Kansas",4.55
543,"Forest, Wisconsin",0.34545454545454546
544,"Forsyth, North Carolina",1.877777777777778
545,"Fort bend, Texas",16.424999999999997
546,"Foster, North Dakota",0.96
547,"Franklin, Alabama",0.8214285714285714
548,"Franklin, Florida",1.5999999999999999
549,"Franklin, Idaho",4.608333333333333
550,"Franklin, Indiana",3.6
551,"Franklin, Kentucky",0.9
552,"Franklin, Louisiana",0.0
553,"Franklin, Maine",0.8439500000000001
554,"Franklin, Missouri",2.166666666666667
555,"Franklin, Nebraska",6.170588235294118
556,"Franklin, North Carolina",0.7526760563380283
557,"Franklin, Ohio",0.0
558,"Franklin, Tennessee",0.0
559,"Franklin, Vermont",2.6881818181818184
560,"Franklin, Virginia",0.7849999999999999
561,"Franklin, Washington",2.063333333333333
562,"Frederick, Maryland",10.088208955223882
563,"Frederick, Virginia",1.2928571428571427
564,"Freeborn, Minnesota",9.670454545454547
565,"Fremont, Idaho",2.01
566,"Fremont, Iowa",0.0
567,"Fremont, Wyoming",2.1714285714285717
568,"Fresno, California",5.081818181818182
569,"Frontier, Nebraska",7.533333333333334
570,"Fulton, Illinois",8.309594082352941
571,"Fulton, Indiana",0.4145454545454545
572,"Fulton, Kentucky",1.3666666666666665
573,"Fulton, New York",1.5025
574,"Furnas, Nebraska",10.899999999999999
575,"Gadsden, Florida",2.680571428571428
576,"Gage, Nebraska",9.571428571428571
577,"Gallatin, Kentucky",1.4383333333333335
578,"Gallatin, Montana",2.4522222222222223
579,"Gallia, Ohio",0.0
580,"Garfield, Montana",0.0
581,"Garfield, Oklahoma",1.2186
582,"Garfield, Utah",4.3308333333333335
583,"Garrard, Kentucky",0.36
584,"Garrett, Maryland",0.9058823529411765
585,"Garvin, Oklahoma",0.3953846153846153
586,"Garza, Texas",8.5
587,"Gaston, North Carolina",4.667486033519554
588,"Geauga, Ohio",0.0
589,"Gem, Idaho",0.75
590,"Genesee, Michigan",3.22566037735849
591,"Geneva, Alabama",1.3166666666666669
592,"Georgetown, South Carolina",0.0
593,"Gibson, Indiana",0.0
594,"Gibson, Tennessee",2.115176470588235
595,"Gila, Arizona",0.823076923076923
596,"Giles, Tennessee",0.4
597,"Giles, Virginia",1.1
598,"Gillespie, Texas",24.2051282051282
599,"Gilliam, Oregon",0.39999999999999997
600,"Gilmer, West Virginia",0.0
601,"Glacier, Montana",1.9307692307692308
602,"Glades, Florida",0.4125
603,"Gladwin, Michigan",1.5744
604,"Glasscock, Texas",6.4
605,"Gloucester, New Jersey",3.291350534591193
606,"Gloucester, Virginia",3.185
607,"Gogebic, Michigan",9.01666666666667
608,"Golden valley, Montana",1.75
609,"Goochland, Virginia",4.482
610,"Goodhue, Minnesota",5.51578947368421
611,"Gooding, Idaho",1.5625
612,"Goshen, Wyoming",4.096507936507935
613,"Gosper, Nebraska",8.0
614,"Gove, Kansas",11.0
615,"Grady, Oklahoma",1.1341999999999999
616,"Grafton, New Hampshire",2.32754104477612
617,"Graham, Arizona",0.7733333333333333
618,"Graham, Kansas",4.630434782608695
619,"Graham, North Carolina",2.326666666666667
620,"Grand forks, North Dakota",1.155
621,"Grand isle, Vermont",0.0
622,"Grand traverse, Michigan",0.0
623,"Grand, Utah",0.3
624,"Granite, Montana",0.0
625,"Grant, Kansas",4.491666666666667
626,"Grant, Kentucky",0.7166666666666667
627,"Grant, Louisiana",0.09302325581395349
628,"Grant, Minnesota",0.0
629,"Grant, Nebraska",0.0
630,"Grant, New Mexico",8.688709677419356
631,"Grant, North Dakota",0.6675
632,"Grant, Oklahoma",1.467
633,"Grant, Oregon",0.9571428571428572
634,"Grant, South Dakota",2.6666666666666665
635,"Grant, West Virginia",0.0
636,"Grant, Wisconsin",2.46625
637,"Granville, North Carolina",0.11851851851851852
638,"Gratiot, Michigan",13.128571428571417
639,"Graves, Kentucky",1.8538461538461537
640,"Gray, Kansas",3.3600000000000003
641,"Grayson, Kentucky",0.82
642,"Grayson, Texas",29.05882352941176
643,"Greeley, Nebraska",12.233333333333334
644,"Green lake, Wisconsin",2.766666666666667
645,"Green, Kentucky",0.5000000000000001
646,"Green, Wisconsin",3.338571428571428
647,"Greenbrier, West Virginia",1.462366666666667
648,"Greene, Alabama",2.376923076923077
649,"Greene, Illinois",0.3
650,"Greene, Iowa",0.0
651,"Greene, Missouri",2.8833333333333333
652,"Greene, New York",0.6718
653,"Greene, North Carolina",0.190625
654,"Greene, Virginia",1.0266666666666666
655,"Greenup, Kentucky",0.575
656,"Greenville, South Carolina",0.4666666666666667
657,"Greenwood, South Carolina",0.21666666666666667
658,"Greer, Oklahoma",0.6135714285714287
659,"Gregory, South Dakota",3.4
660,"Griggs, North Dakota",0.81
661,"Grimes, Texas",18.4
662,"Grundy, Illinois",5.021199999999999
663,"Grundy, Tennessee",0.0
664,"Guadalupe, New Mexico",27.373333333333335
665,"Guilford, North Carolina",1.8525
666,"Guillford, North Carolina",0.0
667,"Gulf, Florida",1.2999999999999998
668,"Guthrie, Iowa",9.47
669,"Haines, Alaska",0.5222222222222223
670,"Hale, Alabama",2.0
671,"Hale, Texas",6.9
672,"Halifax, North Carolina",1.7446153846153847
673,"Halifax, Virginia",3.685714285714286
674,"Hall, Nebraska",8.569230769230767
675,"Hamblen, Tennessee",11.933333333333332
676,"Hamilton, Indiana",0.36
677,"Hamilton, Kansas",14.0
678,"Hamilton, Nebraska",1.4
679,"Hamilton, New York",0.0
680,"Hamilton, Ohio",0.41
681,"Hamilton, Tennessee",0.3498571428571428
682,"Hamlin, South Dakota",3.516666666666667
683,"Hampshire, Massachusetts",0.0
684,"Hampshire, West Virginia",0.64
685,"Hampton, South Carolina",0.0
686,"Hancock, Illinois",0.0
687,"Hancock, Kentucky",1.1
688,"Hancock, Maine",6.535884615384616
689,"Hancock, Ohio",2.1834285714285713
690,"Hancock, West Virginia",0.384
691,"Hanover, Virginia",8.078488372093021
692,"Hardee, Florida",9.234074074074075
693,"Hardeman, Tennessee",0.72
694,"Hardin, Kentucky",0.3947
695,"Hardin, Ohio",0.0
