,county,chlordane
527,"Dade, Florida",0.0
528,"Dade, Missouri",0.0
529,"Daggett, Utah",0.0
530,"Dakota, Minnesota",0.0
531,"Dakota, Nebraska",0.0
532,"Dale, Alabama",0.0
533,"Dallam, Texas",0.0
534,"Dallas, Alabama",0.0
535,"Dallas, Arkansas",0.0
536,"Dallas, Missouri",0.0
537,"Dallas, Texas",0.0
538,"Dane, Wisconsin",0.0
539,"Daniels, Montana",0.0
540,"Danville, Virginia",0.0
541,"Dare, North Carolina",0.0
542,"Darlington, South Carolina",0.0
543,"Dauphin county, Pennsylvania",0.0
544,"Dauphin, Pennsylvania",0.0
545,"Davidson, North Carolina",0.0
546,"Davie, North Carolina",0.0
547,"Daviess, Indiana",0.0
548,"Daviess, Kentucky",0.0
549,"Daviess, Missouri",0.0
550,"Davis, Utah",0.0
551,"Dawes, Nebraska",0.0
552,"Dawson, Montana",0.0
553,"Dawson, Nebraska",0.0
554,"Dawson, Texas",0.0
555,"Day, South Dakota",0.0
556,"De baca, New Mexico",0.0
557,"De kalb, Indiana",0.0
558,"De kalb, Missouri",0.0
559,"De soto, Florida",0.0
560,"De soto, Louisiana",0.0
561,"De witt, Illinois",0.0
562,"Deaf smith, Texas",0.0
563,"Dearborn, Indiana",0.0
564,"Decatur, Indiana",0.0
565,"Deer lodge, Montana",0.0
566,"Defiance, Ohio",0.0
567,"Dekalb, Alabama",0.0
568,"Dekalb, Illinois",0.0
569,"Dekalb, Indiana",0.0
570,"Dekalb, Missouri",0.0
571,"Delaware, Indiana",0.0
572,"Delaware, New York",0.0
573,"Delaware, Pennsylvania",0.0
574,"Delta, Texas",0.0
575,"Dent, Missouri",0.0
576,"Denton, Texas",0.0
577,"Deschutes, Oregon",0.0
578,"Desha, Arkansas",0.0
579,"Desoto, Florida",0.0
580,"Deuel, Nebraska",0.0
581,"Dewey, Oklahoma",0.0
582,"Dewey, South Dakota",0.0
583,"Dewitt, Texas",0.0
584,"Dickens, Texas",0.0
585,"Dickey, North Dakota",0.0
586,"Dickinson, Iowa",0.0
587,"Dickinson, Kansas",0.0
588,"Dillon, South Carolina",0.0
589,"Dimmit, Texas",0.0
590,"Dinwiddie, Virginia",0.0
591,"District of columbia, District of Columbia",0.0
592,"Dixie, Florida",0.0
593,"Dixon, Nebraska",0.0
594,"Doddridge, West Virginia",0.0
595,"Dodge, Minnesota",0.0
596,"Dodge, Nebraska",0.0
597,"Dodge, Wisconsin",0.0
598,"Dona ana, New Mexico",0.0367816091954023
599,"Donley, Texas",0.0
600,"Door, Wisconsin",0.0
601,"Dorchester, Maryland",0.0
602,"Dorchester, South Carolina",0.0
603,"Douglas, Illinois",0.0
604,"Douglas, Kansas",0.0
605,"Douglas, Minnesota",0.0
606,"Douglas, Missouri",0.0
607,"Douglas, Nebraska",0.0
608,"Douglas, Nevada",0.0
609,"Douglas, Oregon",0.0
610,"Douglas, Washington",0.0
611,"Douglas, Wisconsin",0.0
612,"Drew, Arkansas",0.0
613,"Du page, Illinois",0.0
614,"Dubois, Indiana",0.0
615,"Duchesne, Utah",0.0
616,"Dukes, Massachusetts",0.0
617,"Dundy, Nebraska",0.0
618,"Dunklin, Missouri",0.0
619,"Dunn, North Dakota",0.0
620,"Dunn, Wisconsin",0.0
621,"Dupage, Illinois",0.0
622,"Duplin, North Carolina",0.0
623,"Durham, North Carolina",0.0
624,"Dutchess, New York",0.0
625,"Duval county, Florida",0.0
626,"Duval, Florida",0.0
627,"Duval, Texas",0.0
628,"East baton rouge parish, Louisiana",0.0
629,"East baton rouge, Louisiana",0.0
630,"East carroll, Louisiana",0.0
631,"East feliciana, Louisiana",0.0
632,"Eastland, Texas",0.0
633,"Eau claire, Wisconsin",0.0
634,"Ector, Texas",0.0
635,"Eddy, New Mexico",0.0
636,"Eddy, North Dakota",0.0
637,"Edgar, Illinois",0.0
638,"Edgecombe, North Carolina",0.0
639,"Edmonson, Kentucky",0.0
640,"Edwards, Illinois",0.0
641,"Edwards, Texas",0.0
642,"Effingham, Illinois",0.0
643,"El dorado, California",0.0
644,"El paso, Texas",0.0
645,"Elk, Kansas",0.0
646,"Elk, Pennsylvania",0.0
647,"Elkhart, Indiana",0.0
648,"Elko, Nevada",0.0
649,"Elliott, Kentucky",0.0
650,"Ellis, Oklahoma",0.0
651,"Ellis, Texas",0.0
652,"Ellsworth, Kansas",0.0
653,"Elmore, Alabama",0.0
654,"Elmore, Idaho",0.0
655,"Emery, Utah",0.0
656,"Emmons, North Dakota",0.0
