,county,nitrate
149,"Bell, Kentucky",9.387755102040817
150,"Bell, Texas",1637.5348837209303
151,"Belmont, Ohio",1446.8691588785048
152,"Beltrami county, Minnesota",264.61538461538464
153,"Beltrami, Minnesota",289.0260133091349
154,"Benewah, Idaho",933.9322033898305
155,"Bennett, South Dakota",668.3333333333334
156,"Bennington, Vermont",492.45888594164455
157,"Benton county, Arkansas",586.6666666666666
158,"Benton, Arkansas",1999.6666666666667
159,"Benton, Indiana",178.38235294117646
160,"Benton, Iowa",960.4320388349514
161,"Benton, Minnesota",1497.6500857632934
162,"Benton, Missouri",0.04938271604938271
163,"Benton, Oregon",1561.2021276595744
164,"Benton, Tennessee",266.25
165,"Benton, Washington",2495.2475027746946
166,"Benzie, Michigan",1206.25
167,"Bergen, New Jersey",2477.8520055325034
168,"Berkeley, South Carolina",53.27699530516432
169,"Berkeley, West Virginia",2051.6519246861926
170,"Berks county, Pennsylvania",4251.578947368421
171,"Berks, Pennsylvania",3558.5430097951917
172,"Berkshire, Massachusetts",452.4426553672317
173,"Bernalillo, New Mexico",752.25
174,"Berrien, Michigan",434.006734006734
175,"Bertie, North Carolina",0.0
176,"Bethel, Alaska",210.8705035971223
177,"Bexar, Texas",1516.8316831683169
178,"Bibb, Alabama",479.2692307692308
179,"Bienville, Louisiana",0.0
180,"Big horn, Montana",0.0
181,"Big horn, Wyoming",961.3636363636364
182,"Big stone, Minnesota",420.2985074626866
183,"Bingham, Idaho",2128.8758389261743
184,"Black hawk, Iowa",4884.033057851239
185,"Blackford, Indiana",0.0
186,"Bladen, North Carolina",347.04292397660817
187,"Blaine, Idaho",490.3560606060606
188,"Blaine, Oklahoma",6230.0
189,"Blair county, Pennsylvania",1087.6666666666667
190,"Blair, Pennsylvania",3290.0852272727275
191,"Blanco, Texas",647.7777777777778
192,"Bledsoe, Tennessee",511.95238095238096
193,"Blount, Alabama",711.6341095890411
194,"Blount, Tennessee",523.9833333333333
195,"Blue earth, Minnesota",250.86677367576243
196,"Boise, Idaho",717.3815789473684
